tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
844,1789624111287000,-0.192970276,-0.598633766,-0.348907471,0.022303034,1,23.681213379,0.972186327,79.101898193,0,16.616666667,0.000000000,0.000000000,1,0,0,1,0,1
845,1789624111302000,-0.190010071,-0.598630428,-0.326877594,0.022227872,1,23.504693985,0.972077966,79.292274475,0,16.633333333,0.000000000,0.000000000,1,0,0,1,0,1
846,1789624111319000,-0.187049866,-0.598627806,-0.304939270,0.022137137,1,23.326360703,0.971958816,79.481193542,0,16.650000000,0.000000000,0.000000000,1,0,0,1,0,1
847,1789624111336000,-0.184082031,-0.598625183,-0.283065796,0.022073897,1,23.146230698,0.971832991,79.668647766,0,16.666666667,0.000000000,0.000000000,1,0,0,1,0,1
848,1789624111352000,-0.181144714,-0.598623514,-0.261238098,0.022024445,1,22.964319229,0.971704245,79.854629517,0,16.683333333,0.000000000,0.000000000,1,0,0,1,0,1
849,1789624111368000,-0.178222656,-0.598621607,-0.239452362,0.021980826,1,22.780647278,0.971575797,80.039131165,0,16.700000000,0.000000000,0.000000000,1,0,0,1,0,1
850,1789624111388000,-0.175354004,-0.598621368,-0.217712402,0.021928405,1,22.595224380,0.971450627,80.222129822,0,16.716666667,0.000000000,0.000000000,1,0,0,1,0,1
851,1789624111402000,-0.172500610,-0.598620415,-0.195999146,0.021899940,1,22.408071518,0.971331358,80.403625488,0,16.733333333,0.000000000,0.000000000,1,0,0,1,0,1
852,1789624111419000,-0.169723511,-0.598621130,-0.174339294,0.021837156,1,22.219196320,0.971220016,80.583587646,0,16.750000000,0.000000000,0.000000000,1,0,0,1,0,1
853,1789624111436000,-0.166984558,-0.598621130,-0.152694702,0.021817200,1,22.028617859,0.971118271,80.762016296,0,16.766666667,0.000000000,0.000000000,1,0,0,1,0,1
854,1789624111454000,-0.164283752,-0.598622322,-0.131088257,0.021774592,1,21.836345673,0.971027374,80.938888550,0,16.783333333,0.000000000,0.000000000,1,0,0,1,0,1
855,1789624111469000,-0.161651611,-0.598623514,-0.109516144,0.021732101,1,21.642391205,0.970948100,81.114189148,0,16.800000000,0.000000000,0.000000000,1,0,0,1,0,1
856,1789624111486000,-0.159072876,-0.598624468,-0.087974548,0.021695396,1,21.446769714,0.970880926,81.287910461,0,16.816666667,0.000000000,0.000000000,1,0,0,1,0,1
857,1789624111502000,-0.156562805,-0.598627329,-0.066452026,0.021668397,1,21.249488831,0.970825970,81.460014343,0,16.833333333,0.000000000,0.000000000,1,0,0,1,0,1
858,1789624111518000,-0.154060364,-0.598628283,-0.044952393,0.021644779,1,21.050561905,0.970782995,81.630508423,0,16.850000000,0.000000000,0.000000000,1,0,0,1,0,1
859,1789624111535000,-0.151634216,-0.598630428,-0.023490906,0.021598184,1,20.850002289,0.970751643,81.799346924,0,16.866666667,0.000000000,0.000000000,1,0,0,1,0,1
860,1789624111554000,-0.145782471,-0.598632813,0.008823395,0.032839868,1,20.647813797,0.970730960,81.966529846,0,16.883333333,0.000000000,0.000000000,1,0,0,1,0,1
861,1789624111569000,-0.148124695,-0.598753214,0.008728027,0.002347255,1,20.444013596,0.970720053,82.132019043,0,16.900000000,0.000000000,0.000000000,1,0,0,1,0,1
862,1789624111586000,-0.148078918,-0.598636866,-0.024658203,0.033386465,1,20.238607407,0.970717788,82.295791626,0,16.916666667,0.000000000,0.000000000,1,0,0,1,0,1
863,1789624111602000,-0.147987366,-0.598638296,-0.058040619,0.033382542,1,20.031608582,0.970722795,82.457839966,0,16.933333333,0.000000000,0.000000000,1,0,0,1,0,1
864,1789624111619000,-0.147872925,-0.598639727,-0.091419220,0.033378799,1,19.823024750,0.970733702,82.618125916,0,16.950000000,0.000000000,0.000000000,1,0,0,1,0,1
865,1789624111635000,-0.147727966,-0.598640919,-0.124809265,0.033390362,1,19.612867355,0.970748961,82.776611328,0,16.966666667,0.000000000,0.000000000,1,0,0,1,0,1
866,1789624111652000,-0.147537231,-0.598641157,-0.158187866,0.033379145,1,19.401144028,0.970767021,82.933296204,0,16.983333333,0.000000000,0.000000000,1,0,0,1,0,1
867,1789624111669000,-0.147308350,-0.598641396,-0.191570282,0.033383202,1,19.187868118,0.970786273,83.088127136,0,17.000000000,0.000000000,0.000000000,1,0,0,1,0,1
868,1789624111688000,-0.147071838,-0.598640919,-0.224948883,0.033379439,1,18.973045349,0.970805049,83.241081238,0,17.016666667,0.000000000,0.000000000,1,0,0,1,0,1
869,1789624111702000,-0.146789551,-0.598640680,-0.258331299,0.033383612,1,18.756687164,0.970821857,83.392120361,0,17.033333333,0.000000000,0.000000000,1,0,0,1,0,1
870,1789624111718000,-0.146469116,-0.598639488,-0.291709900,0.033380140,1,18.538803101,0.970835149,83.541221619,0,17.050000000,0.000000000,0.000000000,1,0,0,1,0,1
