tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
5509,1789597194291000,38.685077667,-0.074177384,-13.169015884,0.261599243,0,-70.268280029,0.976039708,43.260772705,2811,94.366666667,94.316666667,0.350169748
5510,1789597194309000,38.615722656,-0.092837274,-12.912973404,0.265924901,0,-70.292518616,0.976083517,42.910881042,2812,94.400000000,94.333333333,0.350730211
5511,1789597194327000,38.547958374,-0.111423433,-12.656898499,0.265540570,0,-70.316757202,0.976127267,42.560989380,2812,94.400000000,94.350000000,0.350730211
5512,1789597194339000,38.481288910,-0.129737437,-12.396188736,0.269721717,0,-70.339218140,0.976172984,42.210414886,2813,94.433333333,94.366666667,0.351293266
5513,1789597194358000,38.416172028,-0.147981584,-12.135463715,0.269352168,0,-70.361679077,0.976218700,41.859840393,2813,94.433333333,94.383333333,0.351293266
5514,1789597194376000,38.352066040,-0.165813148,-11.870300293,0.273384690,0,-70.382423401,0.976265311,41.508590698,2814,94.466666667,94.400000000,0.351861745
5515,1789597194394000,38.289459229,-0.183578849,-11.605140686,0.273029029,0,-70.403167725,0.976311982,41.157344818,2814,94.466666667,94.416666667,0.351857930
5516,1789597194406000,38.227790833,-0.200808346,-11.335725784,0.276919186,0,-70.422256470,0.976358473,40.805435181,2815,94.500000000,94.433333333,0.352426976
5517,1789597194425000,38.167552948,-0.217976451,-11.066333771,0.276578039,0,-70.441337585,0.976404965,40.453525543,2815,94.500000000,94.450000000,0.352426559
5518,1789597194442000,38.108169556,-0.234510899,-10.792865753,0.280329317,0,-70.458816528,0.976450324,40.100959778,2816,94.533333333,94.466666667,0.352998763
5519,1789597194461000,38.050189972,-0.250987530,-10.519428253,0.280002117,0,-70.476295471,0.976495683,39.748390198,2816,94.533333333,94.483333333,0.353002578
5520,1789597194473000,37.992969513,-0.266759396,-10.242074966,0.283633173,0,-70.492233276,0.976539016,39.395175934,2817,94.566666667,94.500000000,0.353573650
