tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
7807,1789597232577000,-0.137115479,-0.598410606,2.156810760,0.000143439,1,33.310371399,2.437851667,40.482707977,0,132.683333333,0.000000000,0.000000000
7808,1789597232595000,-0.137115479,-0.598271847,2.156757355,0.000148682,1,33.283477783,2.419536352,40.735210419,0,132.700000000,0.000000000,0.000000000
7809,1789597232607000,-0.137119293,-0.597620010,2.156742096,0.000652026,1,33.256626129,2.398457289,40.987285614,0,132.716666667,0.000000000,0.000000000
7810,1789597232625000,-0.137115479,-0.597488403,2.156627655,0.000174447,1,33.229824066,2.374619246,41.238929749,0,132.733333333,0.000000000,0.000000000
7811,1789597232644000,-0.136077881,-0.596053600,2.123031616,0.033642668,1,33.203063965,2.348027229,41.490146637,0,132.750000000,0.000000000,0.000000000
7812,1789597232662000,-0.135044098,-0.596614838,2.089443207,0.033608999,1,33.176349640,2.318686485,41.740936279,0,132.766666667,0.000000000,0.000000000
7813,1789597232674000,-0.134002686,-0.595880508,2.055877686,0.033589702,1,33.149681091,2.286601305,41.991298676,0,132.783333333,0.000000000,0.000000000
7814,1789597232693000,-0.132968903,-0.594795227,2.022331238,0.033579916,1,33.123058319,2.251777172,42.241230011,0,132.800000000,0.000000000,0.000000000
7815,1789597232711000,-0.131919861,-0.594326019,1.988822937,0.033528000,1,33.096553802,2.214459181,42.490940094,0,132.816666667,0.000000000,0.000000000
7816,1789597232729000,-0.130863190,-0.593694687,1.955348969,0.033496592,1,33.070480347,2.175794840,42.740524292,0,132.833333333,0.000000000,0.000000000
7817,1789597232741000,-0.129810333,-0.593103409,1.921886444,0.033484306,1,33.044483185,2.137104988,42.989734650,0,132.850000000,0.000000000,0.000000000
7818,1789597232759000,-0.128757477,-0.592610359,1.888446808,0.033459838,1,33.018554688,2.098479509,43.238571167,0,132.866666667,0.000000000,0.000000000
7819,1789597232777000,-0.127712250,-0.592257500,1.855003357,0.033461642,1,32.992687225,2.059952021,43.487022400,0,132.883333333,0.000000000,0.000000000
7820,1789597232796000,-0.126655579,-0.592090607,1.821563721,0.033456743,1,32.966876984,2.021506548,43.735103607,0,132.900000000,0.000000000,0.000000000
7821,1789597232807000,-0.125610352,-0.592142105,1.788116455,0.033463631,1,32.941116333,1.983086348,43.982822418,0,132.916666667,0.000000000,0.000000000
7822,1789597232825000,-0.124572754,-0.592443466,1.754657745,0.033476152,1,32.915397644,1.944600582,44.230197906,0,132.933333333,0.000000000,0.000000000
7823,1789597232844000,-0.123535156,-0.591284752,1.721176147,0.033517707,1,32.889713287,1.905933142,44.477241516,0,132.950000000,0.000000000,0.000000000
7824,1789597232862000,-0.122497559,-0.592152596,1.687667847,0.033535592,1,32.864055634,1.866949797,44.723979950,0,132.966666667,0.000000000,0.000000000
7825,1789597232873000,-0.121479034,-0.591383934,1.654136658,0.033555459,1,32.838413239,1.827504158,44.970432281,0,132.983333333,0.000000000,0.000000000
7826,1789597232892000,-0.120452881,-0.591524124,1.620574951,0.033577681,1,32.812789917,1.787444949,45.216625214,0,133.000000000,0.000000000,0.000000000
7827,1789597232910000,-0.119449615,-0.591736794,1.586986542,0.033604063,1,32.787170410,1.746619582,45.462577820,0,133.016666667,0.000000000,0.000000000
7828,1789597232929000,-0.118450165,-0.592180252,1.553375244,0.033629078,1,32.761543274,1.704879522,45.708309174,0,133.033333333,0.000000000,0.000000000
7829,1789597232940000,-0.117462158,-0.592638969,1.519748688,0.033644196,1,32.735908508,1.662083626,45.953845978,0,133.050000000,0.000000000,0.000000000
7830,1789597232959000,-0.116474152,-0.593171120,1.486103058,0.033664338,1,32.710262299,1.618100762,46.199207306,0,133.066666667,0.000000000,0.000000000
