tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789626354903000,0.007232666,-0.598972559,1.632545471,0.000000000,1,30.000000000,0.977347970,-95.000000000,76,2.533333333,2.516666667,0.000035524,1,0,0,0,0,0
2,1789626354905000,0.014465332,-0.598987758,1.665077209,0.033326052,1,30.000000000,0.977327645,-95.000000000,80,2.666666667,2.533333333,0.000020325,1,0,0,0,0,0
3,1789626354905000,0.021697998,-0.598987699,1.697608948,0.033326048,1,30.000000000,0.977307320,-95.000000000,80,2.666666667,2.550000000,0.000020325,1,0,0,0,0,0
4,1789626354906000,0.028930664,-0.599000692,1.730140686,0.033326048,1,30.000000000,0.977300048,-95.000000000,80,2.666666667,2.566666667,0.000007272,1,0,0,1,0,1
5,1789626354907000,0.036163330,-0.599000692,1.762672424,0.033326048,1,30.000000000,0.977292776,-95.000000000,80,2.666666667,2.583333333,0.000007272,1,0,0,1,0,1
6,1789626354907000,0.043392181,-0.599266648,1.796592712,0.034683038,1,30.000000000,0.977295876,-94.998527527,80,2.666666667,2.600000000,0.001472476,1,0,0,1,0,1
7,1789626354910000,0.043397903,-0.599266708,1.796592712,0.000005722,1,30.000001907,0.977298975,-94.997055054,80,2.666666667,2.616666667,0.001472478,1,0,0,1,0,1
8,1789626354925000,0.036439896,-0.599498630,1.831031799,0.035135712,1,30.000003815,0.977309465,-94.993667603,80,2.666666667,2.633333333,0.003387468,1,0,0,1,0,1
9,1789626354940000,0.042140961,-0.599490881,1.798194885,0.033328142,1,30.000007629,0.977319956,-94.990272522,81,2.700000000,2.650000000,0.003395099,1,0,0,1,0,1
10,1789626354956000,0.047840118,-0.599577427,1.767181396,0.031532910,1,30.000009537,0.977335036,-94.985015869,81,2.700000000,2.666666667,0.005256675,1,0,0,1,0,1
11,1789626354973000,0.053531647,-0.599568665,1.734313965,0.033356585,1,30.000011444,0.977350116,-94.979759216,82,2.733333333,2.683333333,0.005256675,1,0,0,1,0,1
12,1789626354990000,0.059219360,-0.599561572,1.703285217,0.031545732,1,30.000011444,0.977367342,-94.972671509,82,2.733333333,2.700000000,0.007087728,1,0,0,1,0,1
13,1789626355006000,0.064903259,-0.599553585,1.670433044,0.033340245,1,30.000013351,0.977384567,-94.965576172,83,2.766666667,2.716666667,0.007095358,1,0,0,1,0,1
14,1789626355024000,0.070587158,-0.599490523,1.639396667,0.031552613,1,30.000013351,0.977401912,-94.956680298,83,2.766666667,2.733333333,0.008895891,1,0,0,1,0,1
15,1789626355040000,0.076257706,-0.599483848,1.606544495,0.033337973,1,30.000013351,0.977419257,-94.947776794,84,2.800000000,2.750000000,0.008903520,1,0,0,1,0,1
16,1789626355056000,0.081928253,-0.599394858,1.575485229,0.031572789,1,30.000011444,0.977435350,-94.937088013,84,2.800000000,2.766666667,0.010688794,1,0,0,1,0,1
17,1789626355074000,0.087593079,-0.599389791,1.542594910,0.033374593,1,30.000011444,0.977451384,-94.926406860,85,2.833333333,2.783333333,0.010681164,1,0,0,1,0,1
18,1789626355089000,0.093259811,-0.599296689,1.511543274,0.031564608,1,30.000011444,0.977465153,-94.913940430,85,2.833333333,2.800000000,0.012466438,1,0,0,1,0,1
19,1789626355106000,0.098911285,-0.599293232,1.478675842,0.033349771,1,30.000009537,0.977478862,-94.901473999,86,2.866666667,2.816666667,0.012466438,1,0,0,1,0,1
20,1789626355125000,0.104564667,-0.599209726,1.447593689,0.031592213,1,30.000007629,0.977489769,-94.887237549,86,2.866666667,2.833333333,0.014236454,1,0,0,1,0,1
21,1789626355140000,0.110204697,-0.599207640,1.414718628,0.033355352,1,30.000003815,0.977500677,-94.872993469,87,2.900000000,2.850000000,0.014244084,1,0,0,1,0,1
22,1789626355156000,0.115852356,-0.599140644,1.383644104,0.031583644,1,30.000001907,0.977508545,-94.856979370,87,2.900000000,2.866666667,0.016014101,1,0,0,1,0,1
23,1789626355174000,0.121480942,-0.599139988,1.350761414,0.033360939,1,30.000000000,0.977516413,-94.840965271,88,2.933333333,2.883333333,0.016014101,1,0,0,1,0,1
24,1789626355190000,0.127107620,-0.599092007,1.319664001,0.031602386,1,29.999996185,0.977521420,-94.823181152,88,2.933333333,2.900000000,0.017784119,1,0,0,1,0,1
25,1789626355206000,0.132724762,-0.599091709,1.286781311,0.033359010,1,29.999994278,0.977526426,-94.805389404,89,2.966666667,2.916666667,0.017791748,1,0,0,1,0,1
