tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
968,-0.000684738,-0.614850998,-1.986347198,1,1,1,-0.013289228,0.000000000,1.944876790,14.985185623,0,0.000046305,0.007554884,-0.031522658
969,-0.000610352,-0.616373062,-2.019317627,1,1,1,-0.013167860,0.000000000,1.946856260,15.021929741,0,0.000041174,0.007427364,-0.031586833
970,-0.000734329,-0.630077362,-2.062229156,1,1,1,-0.013772229,0.000000000,1.951009274,15.057116508,0,0.000045432,0.007149700,-0.031721853
971,-0.000635147,-0.627786636,-2.096363068,1,1,1,-0.014352606,0.000000000,1.955178261,14.614424706,0,0.000049710,0.006856313,-0.031857707
972,-0.000568390,-0.625735283,-2.130634308,1,1,1,-0.014290160,0.000000000,1.959343672,14.572177887,0,0.000043464,0.006546966,-0.031993575
973,-0.000513077,-0.623632431,-2.164989471,1,1,1,-0.014327052,0.000000000,1.963473320,14.524673462,0,0.000038938,0.006221434,-0.032128584
974,-0.000474930,-0.620416641,-2.199417114,1,1,1,-0.014427550,0.000000000,1.967539191,14.475753784,0,0.000035441,0.005879520,-0.032261804
975,-0.000476837,-0.617932320,-2.233299255,1,1,1,-0.014729458,0.000000000,1.971509933,14.425357819,0,0.000034672,0.005521255,-0.032392222
976,-0.000440598,-0.617767334,-2.267127991,1,1,1,-0.015025635,0.000000000,1.975532174,14.409823418,0,0.000033652,0.005128721,-0.032524586
977,-0.000417709,-0.617419720,-2.301033020,1,1,1,-0.015200309,0.000000000,1.979530573,14.411395073,0,0.000030414,0.004701611,-0.032656420
978,-0.000400543,-0.616827488,-2.335006714,1,1,1,-0.015436972,0.000000000,1.983420491,14.408373833,0,0.000027998,0.004240093,-0.032784946
979,-0.000362396,-0.615388870,-2.368526459,1,1,1,-0.015545893,0.000000000,1.986860752,14.399748802,0,0.000024819,0.003780942,-0.032898795
980,-0.000331879,-0.613442898,-2.401943207,1,1,1,-0.015502754,0.000000000,1.989644051,14.415378571,0,0.000020393,0.003360512,-0.032991018
981,-0.000310898,-0.611734390,-2.435260773,1,1,1,-0.015460359,0.000000000,1.991871953,14.435626030,0,0.000016984,0.002978972,-0.033064943
982,-0.000303268,-0.610290527,-2.468475342,1,1,1,-0.015549571,0.000000000,1.993640661,14.462577820,0,0.000016541,0.002635094,-0.033123698
983,-0.000293732,-0.609105110,-2.501598358,1,1,1,-0.015647370,0.000000000,1.995036840,14.495171547,0,0.000016825,0.002326554,-0.033170145
984,-0.000589371,-0.601834536,-2.540447235,1,1,1,-0.018858563,0.000000000,1.995449066,14.532462120,0,0.000066997,0.002220384,-0.033184703
985,-0.000389099,-0.603813410,-2.573593140,1,1,1,-0.021682404,0.000000000,1.995859504,14.218548775,0,0.000111965,0.002108904,-0.033199184
986,-0.000368118,-0.605510235,-2.540241241,1,1,1,0.015141592,0.000000000,-1.996368527,14.256641388,0,-0.000001265,-0.001988419,0.033214297
987,-0.000358582,-0.606950998,-2.506847382,1,1,1,0.015270258,0.000000000,-1.996824265,14.299542427,0,-0.000001990,-0.001857564,0.033229496
988,-0.000358582,-0.608086348,-2.473415375,1,1,1,0.015364487,0.000000000,-1.997281432,14.342534065,0,-0.000002302,-0.001716088,0.033244751
989,-0.000364304,-0.608882427,-2.439929962,1,1,1,0.015430822,0.000000000,-1.997732997,14.385340691,0,-0.000002247,-0.001563941,0.033259802
990,-0.000371933,-0.609321833,-2.406394958,1,1,1,0.015476828,0.000000000,-1.998168588,14.427471161,0,-0.000001918,-0.001401385,0.033274315
991,-0.000381470,-0.609397650,-2.372825623,1,1,1,0.015507482,0.000000000,-1.998578310,14.468717575,0,-0.000001384,-0.001228927,0.033287961
992,-0.000389099,-0.609115362,-2.339191437,1,1,1,0.015530338,0.000000000,-1.998951674,14.508731842,0,-0.000000771,-0.001047264,0.033300400
993,-0.000396729,-0.608488083,-2.305507660,1,1,1,0.015541731,0.000000000,-1.999277592,14.547271729,0,-0.000000027,-0.000857220,0.033311274
994,-0.000406265,-0.607542515,-2.271774292,1,1,1,0.015546612,0.000000000,-1.999547601,14.584636688,0,0.000000752,-0.000659707,0.033320270
995,-0.000415802,-0.606290221,-2.237998962,1,1,1,0.015548849,0.000000000,-1.999752879,14.620595932,0,0.000001488,-0.000455675,0.033327106
996,-0.000417709,-0.604759932,-2.204174042,1,1,1,0.015545355,0.000000000,-1.999885201,14.655611038,0,0.000002217,-0.000246082,0.033331517
997,-0.000392914,-0.603008747,-2.170372009,1,1,1,0.015524758,0.000000000,-1.999939084,14.689352989,0,0.000002645,-0.000032422,0.033333305
998,-0.000392914,-0.600858152,-2.136573792,1,1,1,0.015493338,0.000000000,-1.999922037,14.718302727,0,0.000002902,0.000140078,0.033332750
999,-0.000389099,-0.599117815,-2.102710724,1,1,1,0.015448939,0.000000000,-1.999873638,14.744735718,0,0.000003119,0.000272473,0.033331107
1000,-0.000387192,-0.597810268,-2.068790436,1,1,1,0.015400919,0.000000000,-1.999819040,14.773721695,0,0.000003239,0.000368106,0.033329267
1001,-0.000389099,-0.596911669,-2.034839630,1,1,1,0.015350753,0.000000000,-1.999774098,14.804536819,0,0.000003316,0.000430863,0.033327766
1002,-0.000385284,-0.596384764,-2.000865936,1,1,1,0.015302662,0.000000000,-1.999746680,14.836371422,0,0.000003339,0.000464937,0.033326849
1003,-0.000383377,-0.596182644,-1.966892242,1,1,1,0.015259467,0.000000000,-1.999739051,14.868615150,0,0.000003303,0.000474640,0.033326574
1004,-0.000383377,-0.596252084,-1.932910919,1,1,1,0.015218194,0.000000000,-1.999748349,14.900632858,0,0.000003287,0.000464240,0.033326868
