tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
898,0.000020981,-0.607250214,0.778062820,1,1,1,-0.000565850,0.000000000,1.974257708,22.067882538,0,0.000014944,0.005262241,-0.032480787
899,0.000019073,-0.606300354,0.744134903,1,1,1,-0.000598397,0.000000000,1.971894503,22.052488327,0,0.000015971,0.005490300,-0.032403063
900,0.000019073,-0.606082439,0.710245132,1,1,1,-0.000631766,0.000000000,1.969431639,22.038372040,0,0.000017026,0.005716834,-0.032322187
901,0.000202179,-0.630468845,0.608701706,1,1,1,-0.001042172,0.000000000,1.976708293,22.025529861,0,0.000008553,0.005013280,-0.032561470
902,0.000175476,-0.618981838,0.575187683,1,1,1,-0.001429789,0.000000000,1.982055545,18.085412979,0,0.000002065,0.004415143,-0.032737892
903,0.000165939,-0.610846043,0.540727615,1,1,1,-0.001952857,0.000000000,1.986383557,18.091190338,0,-0.000001371,0.003856459,-0.032881029
904,0.000209808,-0.603880405,0.506166458,1,1,1,-0.002566068,0.000000000,1.990032077,18.053342819,0,-0.000005056,0.003307011,-0.033001956
905,0.000228882,-0.597851276,0.472311020,1,1,1,-0.003138625,0.000000000,1.993146658,18.014682770,0,-0.000008375,0.002747168,-0.033105370
906,0.000234604,-0.592322826,0.438285828,1,1,1,-0.003736742,0.000000000,1.995774746,18.020170212,0,-0.000010772,0.002160105,-0.033192754
907,0.000232697,-0.586800814,0.404230118,1,1,1,-0.004349185,0.000000000,1.997856498,18.013450623,0,-0.000012852,0.001539544,-0.033262074
908,0.000219345,-0.581022024,0.370233536,1,1,1,-0.004986753,0.000000000,1.999287486,18.001205444,0,-0.000014566,0.000885586,-0.033309788
909,0.000194550,-0.574937463,0.336336136,1,1,1,-0.005655393,0.000000000,1.999956369,17.987115860,0,-0.000015893,0.000199120,-0.033332147
910,0.000164032,-0.568535089,0.302570343,1,1,1,-0.006362676,0.000000000,1.999748230,17.970989227,0,-0.000016748,-0.000518223,-0.033325270
911,0.000127792,-0.561786294,0.268978119,1,1,1,-0.007110969,0.000000000,1.998546481,17.953077316,0,-0.000017104,-0.001264137,-0.033285316
912,0.000089645,-0.554658294,0.235597610,1,1,1,-0.007898756,0.000000000,1.996237278,17.932935715,0,-0.000016977,-0.002035708,-0.033208542
913,0.000047684,-0.547136307,0.202463150,1,1,1,-0.008735766,0.000000000,1.992709517,17.910825729,0,-0.000016185,-0.002829492,-0.033091396
914,-0.000001907,-0.539227247,0.169631958,1,1,1,-0.009622192,0.000000000,1.987858772,17.886083603,0,-0.000014691,-0.003641597,-0.032930631
915,-0.000051498,-0.530923367,0.137142181,1,1,1,-0.010559887,0.000000000,1.981587768,17.858318329,0,-0.000012427,-0.004467768,-0.032723341
916,-0.000356674,-0.530981064,0.105960846,1,1,1,-0.011452603,0.000000000,1.975160003,17.828218460,0,-0.000006607,-0.005168830,-0.032511573
917,-0.000604630,-0.534682751,0.075500488,1,1,1,-0.012301043,0.000000000,1.969470620,17.732229233,0,0.000001601,-0.005709943,-0.032324713
918,-0.000896454,-0.571451426,0.024608612,1,1,1,-0.012520710,0.000000000,1.973191738,17.627437592,0,0.000005750,-0.005362674,-0.032447021
919,-0.001050949,-0.575375080,-0.006561279,1,1,1,-0.012761760,0.000000000,1.975368381,16.054258347,0,0.000010234,-0.005146962,-0.032518685
920,-0.001182556,-0.577144623,-0.037471771,1,1,1,-0.012912729,0.000000000,1.977082849,16.050111771,0,0.000013167,-0.004969524,-0.032575205
921,-0.001283646,-0.579676628,-0.068527222,1,1,1,-0.013031053,0.000000000,1.978864670,16.071817398,0,0.000016149,-0.004777360,-0.032633960
922,-0.001361847,-0.582888126,-0.099704742,1,1,1,-0.013119937,0.000000000,1.980871677,16.085910797,0,0.000018503,-0.004550109,-0.032700196
923,-0.001440048,-0.601892233,-0.146518707,1,1,1,-0.013321843,0.000000000,1.981862426,16.098190308,0,0.000020474,-0.004432994,-0.032732971
924,-0.001483917,-0.602369785,-0.178470612,1,1,1,-0.013496547,0.000000000,1.983102441,15.173456192,0,0.000022021,-0.004281604,-0.032773979
925,-0.001516342,-0.602284193,-0.210071564,1,1,1,-0.013613807,0.000000000,1.984539032,15.152993202,0,0.000022951,-0.004098692,-0.032821491
926,-0.001539230,-0.602125168,-0.241744995,1,1,1,-0.013694424,0.000000000,1.986099243,15.157882690,0,0.000023517,-0.003889442,-0.032873139
927,-0.001554489,-0.601895809,-0.273513794,1,1,1,-0.013755296,0.000000000,1.987720966,15.162768364,0,0.000023932,-0.003658362,-0.032926857
928,-0.001564026,-0.601600170,-0.305377960,1,1,1,-0.013800018,0.000000000,1.989351511,15.168375969,0,0.000024205,-0.003409286,-0.032980904
929,-0.001565933,-0.601247668,-0.337341309,1,1,1,-0.013829543,0.000000000,1.990946889,15.174996376,0,0.000024321,-0.003145378,-0.033033833
930,-0.001564026,-0.600850582,-0.369396210,1,1,1,-0.013851798,0.000000000,1.992473245,15.182822227,0,0.000024387,-0.002869165,-0.033084504
931,-0.001537323,-0.600417733,-0.401782990,1,1,1,-0.013759592,0.000000000,1.993901014,15.191978455,0,0.000024300,-0.002583222,-0.033131916
932,-0.001510620,-0.600034833,-0.434497833,1,1,1,-0.013648579,0.000000000,1.995203376,15.188632965,0,0.000023817,-0.002290467,-0.033175193
933,-0.001480103,-0.599635839,-0.467296600,1,1,1,-0.013541160,0.000000000,1.996368527,15.173293114,0,0.000023314,-0.001991531,-0.033213913
934,-0.001453400,-0.599237323,-0.500179291,1,1,1,-0.013440691,0.000000000,1.997386336,15.159688950,0,0.000022852,-0.001686605,-0.033247765
935,-0.001428604,-0.598856211,-0.533161163,1,1,1,-0.013345524,0.000000000,1.998248935,15.147742271,0,0.000022412,-0.001375508,-0.033276469
