tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
44,0.000000000,-0.599707127,2.538467407,1,1,1,0.000000000,0.000000000,0.000000000,2.254945040,0,0.000000000,0.000000000,0.000000000
45,-0.000001907,-0.599710464,2.539337158,1,1,1,0.000000000,0.000000000,0.000000000,2.307130575,0,0.000000000,0.000000000,0.000000000
46,0.000000000,-0.599713087,2.540176392,1,1,1,0.000000000,0.000000000,0.000000000,2.359316111,0,0.000000000,0.000000000,0.000000000
47,0.000000000,-0.599714994,2.541046143,1,1,1,0.000000000,0.000000000,0.000000000,2.410585880,0,0.000000000,0.000000000,0.000000000
48,-0.000001907,-0.599716485,2.541900635,1,1,1,0.000000000,0.000000000,0.000000000,2.461855173,0,0.000000000,0.000000000,0.000000000
49,0.000000000,-0.599717379,2.542755127,1,1,1,0.000000000,0.000000000,0.000000000,2.513124943,0,0.000000000,0.000000000,0.000000000
50,0.000001907,-0.599718213,2.543624878,1,1,1,0.000000000,0.000000000,0.000000000,2.564394236,0,0.000000000,0.000000000,0.000000000
51,0.000001907,-0.599718571,2.544464111,1,1,1,0.000000000,0.000000000,0.000000000,2.616579294,0,0.000000000,0.000000000,0.000000000
52,0.000000000,-0.599719167,2.545318604,1,1,1,0.000000000,0.000000000,0.000000000,2.666933060,0,0.000000000,0.000000000,0.000000000
53,0.000000000,-0.599719644,2.546188354,1,1,1,0.000000000,0.000000000,0.000000000,2.718202353,0,0.000000000,0.000000000,0.000000000
54,0.000001907,-0.599720001,2.547027588,1,1,1,0.000000000,0.000000000,0.000000000,2.769471645,0,0.000000000,0.000000000,0.000000000
55,0.000000000,-0.599720836,2.547866821,1,1,1,0.000000000,0.000000000,0.000000000,2.820740938,0,0.000000000,0.000000000,0.000000000
56,0.000000000,-0.599721551,2.548721313,1,1,1,0.000000000,0.000000000,0.000000000,2.871094704,0,0.000000000,0.000000000,0.000000000
57,-0.000001907,-0.599722624,2.549560547,1,1,1,0.000000000,0.000000000,0.000000000,2.922363997,0,0.000000000,0.000000000,0.000000000
58,0.000000000,-0.599723816,2.550399780,1,1,1,0.000000000,0.000000000,0.000000000,2.972717762,0,0.000000000,0.000000000,0.000000000
