tick,local_x,local_y,local_z,on_floor,bus_support,inside_hull,velocity_x,velocity_y,velocity_z,platform_speed,jump_command,walk_dx,walk_dy,walk_dz
43,-0.000001907,-0.599146008,1.102951050,1,1,1,-0.000023785,0.000000000,1.999989510,2.203674793,0,0.000000000,0.000107589,-0.033332989
44,-0.000001907,-0.599148989,1.070434570,1,1,1,-0.000024754,0.000000000,1.999989510,2.254944563,0,0.000000018,0.000107691,-0.033332989
45,-0.000003815,-0.599150896,1.037948608,1,1,1,-0.000024698,0.000000000,1.999989510,2.307129622,0,0.000000018,0.000107819,-0.033332985
46,-0.000003815,-0.599152863,1.005416870,1,1,1,-0.000024654,0.000000000,1.999989510,2.359314680,0,0.000000018,0.000107964,-0.033332985
47,-0.000003815,-0.599154353,0.972915649,1,1,1,-0.000024624,0.000000000,1.999989510,2.410584211,0,0.000000019,0.000108119,-0.033332985
48,-0.000005722,-0.599155664,0.940399170,1,1,1,-0.000026775,0.000000000,1.999989510,2.461853743,0,0.000000055,0.000108276,-0.033332985
49,-0.000003815,-0.599156618,0.907882690,1,1,1,-0.000025691,0.000000000,1.999989510,2.513123035,0,0.000000037,0.000108430,-0.033332985
50,-0.000001907,-0.599157870,0.875350952,1,1,1,-0.000024596,0.000000000,1.999989510,2.564392805,0,0.000000019,0.000108577,-0.033332981
51,-0.000003815,-0.599158943,0.842834473,1,1,1,-0.000024605,0.000000000,1.999989510,2.616577625,0,0.000000020,0.000108714,-0.033332981
52,-0.000005722,-0.599160194,0.810317993,1,1,1,-0.000026873,0.000000000,1.999989510,2.666931629,0,0.000000057,0.000108838,-0.033332981
53,-0.000005722,-0.599161506,0.777832031,1,1,1,-0.000026916,0.000000000,1.999989510,2.718200922,0,0.000000058,0.000108948,-0.033332977
54,-0.000005722,-0.599162817,0.745300293,1,1,1,-0.000025817,0.000000000,1.999989510,2.769470453,0,0.000000039,0.000109044,-0.033332977
55,-0.000005722,-0.599164486,0.712768555,1,1,1,-0.000025858,0.000000000,1.999989510,2.820739985,0,0.000000040,0.000109124,-0.033332977
56,-0.000007629,-0.599166155,0.680252075,1,1,1,-0.000028242,0.000000000,1.999989033,2.871093750,0,0.000000079,0.000109189,-0.033332977
57,-0.000009537,-0.599167824,0.647720337,1,1,1,-0.000029491,0.000000000,1.999989033,2.922363281,0,0.000000099,0.000109240,-0.033332977
58,-0.000007629,-0.599169850,0.615188599,1,1,1,-0.000028379,0.000000000,1.999989033,2.972717285,0,0.000000080,0.000109278,-0.033332977
59,-0.000007629,-0.599171877,0.582656860,1,1,1,-0.000028449,0.000000000,1.999989033,3.023071289,0,0.000000081,0.000109304,-0.033332977
60,-0.000009537,-0.599174023,0.550140381,1,1,1,-0.000028498,0.000000000,1.999989033,3.073425055,0,0.000000082,0.000109304,-0.033332977
61,-0.000009537,-0.599176645,0.517608643,1,1,1,-0.000029777,0.000000000,1.999989033,3.124694586,0,0.000000103,0.000109304,-0.033332977
62,-0.000009537,-0.599179268,0.485061646,1,1,1,-0.000028599,0.000000000,1.999989033,3.175048590,0,0.000000083,0.000109304,-0.033332977
63,-0.000009537,-0.599181890,0.452529907,1,1,1,-0.000028668,0.000000000,1.999989033,3.224487066,0,0.000000084,0.000109304,-0.033332977
64,-0.000009537,-0.599184632,0.419998169,1,1,1,-0.000030005,0.000000000,1.999989033,3.274841070,0,0.000000106,0.000109298,-0.033332977
65,-0.000011444,-0.599187493,0.387466431,1,1,1,-0.000030087,0.000000000,1.999989033,3.325195074,0,0.000000107,0.000109288,-0.033332977
66,-0.000011444,-0.599190235,0.354919434,1,1,1,-0.000031464,0.000000000,1.999989033,3.375549078,0,0.000000130,0.000109275,-0.033332977
67,-0.000013351,-0.599193096,0.322387695,1,1,1,-0.000031558,0.000000000,1.999989033,3.424987555,0,0.000000131,0.000109260,-0.033332977
68,-0.000013351,-0.599196315,0.289825439,1,1,1,-0.000032969,0.000000000,1.999989033,3.475341558,0,0.000000155,0.000109260,-0.033332977
69,-0.000011444,-0.599199176,0.257278442,1,1,1,-0.000031740,0.000000000,1.999989033,3.524780035,0,0.000000134,0.000109240,-0.033332977
70,-0.000013351,-0.599202275,0.224731445,1,1,1,-0.000031831,0.000000000,1.999989033,3.574218512,0,0.000000135,0.000109240,-0.033332977
71,-0.000013351,-0.599205256,0.192199707,1,1,1,-0.000031928,0.000000000,1.999989033,3.623656988,0,0.000000137,0.000109216,-0.033332977
72,-0.000013351,-0.599208236,0.159652710,1,1,1,-0.000032023,0.000000000,1.999989033,3.673095465,0,0.000000138,0.000109216,-0.033332977
73,-0.000013351,-0.599211156,0.127105713,1,1,1,-0.000033521,0.000000000,1.999989033,3.722533941,0,0.000000163,0.000109216,-0.033332977
74,-0.000011444,-0.599214017,0.094558716,1,1,1,-0.000032221,0.000000000,1.999989033,3.771972418,0,0.000000142,0.000109189,-0.033332977
75,-0.000013351,-0.599217117,0.062011719,1,1,1,-0.000032323,0.000000000,1.999989033,3.821410894,0,0.000000143,0.000109189,-0.033332977
76,-0.000013351,-0.599219739,0.029464722,1,1,1,-0.000032427,0.000000000,1.999989033,3.870849371,0,0.000000145,0.000109189,-0.033332977
77,-0.000013351,-0.599222958,-0.003097534,1,1,1,-0.000034003,0.000000000,1.999989033,3.920287848,0,0.000000171,0.000109189,-0.033332977
78,-0.000017166,-0.599225640,-0.035644531,1,1,1,-0.000035620,0.000000000,1.999989510,3.968810797,0,0.000000198,0.000109160,-0.033332977
79,-0.000015259,-0.599228501,-0.068222046,1,1,1,-0.000035769,0.000000000,1.999989510,4.018249512,0,0.000000201,0.000109160,-0.033332977
80,-0.000017166,-0.599231362,-0.100784302,1,1,1,-0.000035922,0.000000000,1.999989510,4.066772461,0,0.000000203,0.000109160,-0.033332977
81,-0.000015259,-0.599233985,-0.133346558,1,1,1,-0.000036079,0.000000000,1.999989510,4.115295410,0,0.000000206,0.000109160,-0.033332977
82,-0.000017166,-0.599236846,-0.165908813,1,1,1,-0.000036240,0.000000000,1.999989510,4.163818359,0,0.000000209,0.000109160,-0.033332977
83,-0.000017166,-0.599239469,-0.198471069,1,1,1,-0.000036405,0.000000000,1.999989510,4.212341309,0,0.000000211,0.000109160,-0.033332977
84,-0.000017166,-0.599241853,-0.231033325,1,1,1,-0.000038182,0.000000000,1.999989510,4.260864258,0,0.000000241,0.000109160,-0.033332977
85,-0.000019073,-0.599244654,-0.263595581,1,1,1,-0.000038379,0.000000000,1.999989510,4.309387207,0,0.000000244,0.000109160,-0.033332977
86,-0.000019073,-0.599247456,-0.296157837,1,1,1,-0.000038580,0.000000000,1.999989510,4.357910156,0,0.000000248,0.000109160,-0.033332977
87,-0.000019073,-0.599250078,-0.328720093,1,1,1,-0.000040462,0.000000000,1.999989510,4.406433105,0,0.000000279,0.000109160,-0.033332977
88,-0.000019073,-0.599253058,-0.361297607,1,1,1,-0.000038998,0.000000000,1.999989510,4.454956055,0,0.000000255,0.000109127,-0.033332977
89,-0.000020981,-0.599255204,-0.393859863,1,1,1,-0.000040940,0.000000000,1.999989510,4.502563477,0,0.000000287,0.000109127,-0.033332977
90,-0.000019073,-0.599257827,-0.426437378,1,1,1,-0.000041191,0.000000000,1.999989510,4.551086426,0,0.000000291,0.000109127,-0.033332977
91,-0.000020981,-0.599260330,-0.459014893,1,1,1,-0.000041449,0.000000000,1.999989510,4.598693371,0,0.000000295,0.000109127,-0.033332977
92,-0.000020981,-0.599262953,-0.491577148,1,1,1,-0.000041715,0.000000000,1.999989510,4.646300793,0,0.000000300,0.000109127,-0.033332977
93,-0.000022888,-0.599265575,-0.524154663,1,1,1,-0.000043816,0.000000000,1.999989510,4.694823742,0,0.000000335,0.000109127,-0.033332977
94,-0.000020981,-0.599268019,-0.556732178,1,1,1,-0.000044127,0.000000000,1.999989510,4.742431164,0,0.000000340,0.000109127,-0.033332977
95,-0.000024796,-0.599270582,-0.589309692,1,1,1,-0.000046332,0.000000000,1.999989510,4.790038586,0,0.000000377,0.000109127,-0.033332977
96,-0.000024796,-0.599273086,-0.621887207,1,1,1,-0.000048608,0.000000000,1.999989510,4.837646008,0,0.000000415,0.000109127,-0.033332977
97,-0.000024796,-0.599275470,-0.654479980,1,1,1,-0.000050958,0.000000000,1.999989510,4.885253429,0,0.000000454,0.000109127,-0.033332977
98,-0.000024796,-0.599278092,-0.687057495,1,1,1,-0.000049429,0.000000000,1.999989510,4.931945324,0,0.000000428,0.000109127,-0.033332977
99,-0.000026703,-0.599280775,-0.719635010,1,1,1,-0.000051871,0.000000000,1.999989510,4.979552746,0,0.000000469,0.000109127,-0.033332977
100,-0.000026703,-0.599283099,-0.752227783,1,1,1,-0.000052351,0.000000000,1.999989510,5.027160168,0,0.000000477,0.000109127,-0.033332977
101,-0.000026703,-0.599285722,-0.784805298,1,1,1,-0.000054929,0.000000000,1.999989510,5.073852062,0,0.000000520,0.000109127,-0.033332977
102,-0.000026703,-0.599288344,-0.817398071,1,1,1,-0.000053362,0.000000000,1.999989510,5.121459484,0,0.000000494,0.000109127,-0.033332977
103,-0.000028610,-0.599290788,-0.849990845,1,1,1,-0.000056051,0.000000000,1.999989510,5.168151379,0,0.000000539,0.000109127,-0.033332977
104,-0.000026703,-0.599293351,-0.882553101,1,1,1,-0.000056643,0.000000000,1.999989510,5.214843273,0,0.000000549,0.000109127,-0.033332977
105,-0.000026703,-0.599296033,-0.915145874,1,1,1,-0.000055020,0.000000000,1.999989510,5.262450695,0,0.000000522,0.000109127,-0.033332977
106,-0.000028610,-0.599298477,-0.947738647,1,1,1,-0.000057894,0.000000000,1.999989510,5.309142590,0,0.000000569,0.000109127,-0.033332977
107,-0.000028610,-0.599301100,-0.980331421,1,1,1,-0.000058556,0.000000000,1.999989510,5.355834484,0,0.000000580,0.000109127,-0.033332977
108,-0.000030518,-0.599303484,-1.012939453,1,1,1,-0.000061613,0.000000000,1.999989510,5.402526379,0,0.000000631,0.000109127,-0.033332977
109,-0.000028610,-0.599305987,-1.045532227,1,1,1,-0.000062377,0.000000000,1.999989510,5.448302746,0,0.000000644,0.000109127,-0.033332977
110,-0.000030518,-0.599308670,-1.078125000,1,1,1,-0.000063173,0.000000000,1.999989510,5.494994640,0,0.000000657,0.000109127,-0.033332977
111,-0.000030518,-0.599311054,-1.110733032,1,1,1,-0.000064002,0.000000000,1.999989510,5.541686535,0,0.000000671,0.000109127,-0.033332977
112,-0.000030518,-0.599313557,-1.143325806,1,1,1,-0.000064866,0.000000000,1.999989510,5.587462902,0,0.000000686,0.000109127,-0.033332977
113,-0.000030518,-0.599316001,-1.175949097,1,1,1,-0.000068398,0.000000000,1.999989510,5.634154797,0,0.000000745,0.000109127,-0.033332977
114,-0.000030518,-0.599319577,-1.208541870,1,1,1,-0.000066709,0.000000000,1.999989510,5.679931164,0,0.000000717,0.000109103,-0.033332977
115,-0.000028610,-0.599321008,-1.241149902,1,1,1,-0.000067695,0.000000000,1.999989510,5.726623058,0,0.000000733,0.000109103,-0.033332977
116,-0.000028610,-0.599323630,-1.273757935,1,1,1,-0.000068728,0.000000000,1.999989510,5.772399426,0,0.000000750,0.000109103,-0.033332977
117,-0.000028610,-0.599326253,-1.306365967,1,1,1,-0.000066929,0.000000000,1.999989510,5.818175793,0,0.000000720,0.000109103,-0.033332977
118,-0.000028610,-0.599328578,-1.338989258,1,1,1,-0.000067995,0.000000000,1.999989510,5.863952160,0,0.000000738,0.000109103,-0.033332977
119,-0.000028610,-0.599331021,-1.371597290,1,1,1,-0.000072141,0.000000000,1.999989510,5.909728527,0,0.000000807,0.000109103,-0.033332977
120,-0.000026703,-0.599333763,-1.404205322,1,1,1,-0.000070291,0.000000000,1.999989510,5.955504894,0,0.000000776,0.000109103,-0.033332977
121,-0.000024796,-0.599336267,-1.436813354,1,1,1,-0.000071531,0.000000000,1.999989510,6.001281261,0,0.000000797,0.000109103,-0.033332977
122,-0.000024796,-0.599338830,-1.469436646,1,1,1,-0.000066288,0.000000000,1.999989510,6.047057629,0,0.000000710,0.000109103,-0.033332977
123,-0.000024796,-0.599341154,-1.502044678,1,1,1,-0.000067486,0.000000000,1.999989510,6.091918468,0,0.000000729,0.000109103,-0.033332977
124,-0.000024796,-0.599343717,-1.534652710,1,1,1,-0.000072217,0.000000000,1.999989510,6.137694836,0,0.000000808,0.000109103,-0.033332977
125,-0.000022888,-0.599345982,-1.567260742,1,1,1,-0.000070094,0.000000000,1.999989510,6.183471203,0,0.000000773,0.000109103,-0.033332977
126,-0.000022888,-0.599348426,-1.599884033,1,1,1,-0.000067841,0.000000000,1.999989510,6.228332043,0,0.000000735,0.000109103,-0.033332977
127,-0.000020981,-0.599350989,-1.632492065,1,1,1,-0.000073034,0.000000000,1.999989510,6.273192883,0,0.000000822,0.000109103,-0.033332977
128,-0.000020981,-0.599353552,-1.665115356,1,1,1,-0.000066811,0.000000000,1.999989510,6.318969250,0,0.000000718,0.000109103,-0.033332977
129,-0.000020981,-0.599356055,-1.697738647,1,1,1,-0.000068270,0.000000000,1.999989510,6.363830090,0,0.000000743,0.000109103,-0.033332977
130,-0.000020981,-0.599358320,-1.730361938,1,1,1,-0.000074024,0.000000000,1.999989510,6.408690929,0,0.000000838,0.000109103,-0.033332977
131,-0.000019073,-0.599360943,-1.762985229,1,1,1,-0.000071506,0.000000000,1.999989510,6.453551769,0,0.000000796,0.000109103,-0.033332977
132,-0.000017166,-0.599363446,-1.795608521,1,1,1,-0.000068798,0.000000000,1.999989510,6.498412609,0,0.000000751,0.000109103,-0.033332977
133,-0.000017166,-0.599365771,-1.828247070,1,1,1,-0.000070563,0.000000000,1.999989510,6.543273449,0,0.000000781,0.000109099,-0.033332977
134,-0.000017166,-0.599368215,-1.860870361,1,1,1,-0.000072473,0.000000000,1.999989510,6.587218761,0,0.000000813,0.000109099,-0.033332977
135,-0.000015259,-0.599370599,-1.893493652,1,1,1,-0.000069461,0.000000000,1.999989510,6.632079601,0,0.000000763,0.000109099,-0.033332977
136,-0.000015259,-0.599372804,-1.926132202,1,1,1,-0.000066182,0.000000000,1.999989510,6.676940441,0,0.000000708,0.000109099,-0.033332977
137,-0.000015259,-0.599375188,-1.958755493,1,1,1,-0.000068155,0.000000000,1.999989510,6.720885754,0,0.000000741,0.000109099,-0.033332977
138,-0.000015259,-0.599377811,-1.991394043,1,1,1,-0.000076146,0.000000000,1.999989510,6.765746593,0,0.000000874,0.000109099,-0.033332977
