tick,support,on_floor,local_x,local_y,local_z,slip_m,bus_write_m,package_write_m,platform_speed,dual_contact
39,1,1,0.000000000,-0.599673986,2.534118652,0.000854558,0.034118656,0.034133911,1.994929910,0
40,1,1,0.000000000,-0.599683046,2.535003662,0.000885056,0.034988407,0.034988407,2.047116280,0
41,1,1,0.000000000,-0.599690914,2.535873413,0.000869787,0.035858158,0.035858158,2.099302530,0
42,1,1,0.000000000,-0.599697411,2.536743164,0.000869775,0.036727909,0.036727909,2.151489019,0
43,1,1,0.000000000,-0.599702716,2.537597656,0.000854509,0.037582401,0.037582401,2.203674793,0
44,1,1,0.000000000,-0.599707127,2.538467407,0.000869762,0.038452152,0.038452156,2.254945040,0
45,1,1,-0.000001907,-0.599710464,2.539337158,0.000869759,0.039321903,0.039306644,2.307130575,0
46,1,1,0.000000000,-0.599713087,2.540176392,0.000839240,0.040176392,0.040176395,2.359316111,0
47,1,1,0.000000000,-0.599714994,2.541046143,0.000869753,0.041046143,0.041046146,2.410585880,0
48,1,1,-0.000001907,-0.599716485,2.541900635,0.000854496,0.041885376,0.041885380,2.461855173,0
49,1,1,0.000000000,-0.599717379,2.542755127,0.000854495,0.042739868,0.042739872,2.513124943,0
50,1,1,0.000001907,-0.599718213,2.543624878,0.000869753,0.043609619,0.043609619,2.564394236,0
51,1,1,0.000001907,-0.599718571,2.544464111,0.000839233,0.044448853,0.044448853,2.616579294,0
52,1,1,0.000000000,-0.599719167,2.545318604,0.000854495,0.045303345,0.045303345,2.666933060,0
53,1,1,0.000000000,-0.599719644,2.546188354,0.000869751,0.046173096,0.046173096,2.718202353,0
54,1,1,0.000001907,-0.599720001,2.547027588,0.000839236,0.047012329,0.047012329,2.769471645,0
55,1,1,0.000000000,-0.599720836,2.547866821,0.000839236,0.047851563,0.047836304,2.820740938,0
56,1,1,0.000000000,-0.599721551,2.548721313,0.000854492,0.048706055,0.048706055,2.871094704,0
57,1,1,-0.000001907,-0.599722624,2.549560547,0.000839236,0.049545288,0.049545288,2.922363997,0
58,1,1,0.000000000,-0.599723816,2.550399780,0.000839236,0.050384521,0.050384521,2.972717762,0
59,1,1,0.000000000,-0.599725187,2.551239014,0.000839235,0.051223755,0.051223755,3.023071527,0
60,1,1,0.000000000,-0.599725604,2.552093506,0.000854492,0.052078247,0.052078247,3.073425531,0
61,1,1,-0.000001907,-0.599728107,2.552932739,0.000839239,0.052917480,0.052917480,3.124694586,0
62,1,1,0.000000000,-0.599730790,2.553771973,0.000839240,0.053741455,0.053741455,3.175048590,0
63,1,1,0.000000000,-0.599733472,2.554611206,0.000839238,0.054580688,0.054580688,3.224487066,0
64,1,1,0.000000000,-0.599735856,2.555450439,0.000839237,0.055419922,0.055419922,3.274841070,0
65,1,1,0.000000000,-0.599738419,2.556289673,0.000839237,0.056259155,0.056259155,3.325195074,0
66,1,1,-0.000001907,-0.599740982,2.557113647,0.000823981,0.057083130,0.057083130,3.375548840,0
67,1,1,-0.000001907,-0.599743843,2.557952881,0.000839238,0.057922363,0.057922363,3.424987316,0
68,1,1,-0.000001907,-0.599748015,2.558761597,0.000808727,0.058746338,0.058746338,3.475341320,0
69,1,1,0.000000000,-0.599749327,2.559585571,0.000823978,0.059570313,0.059570313,3.524780035,0
70,1,1,0.000000000,-0.599754035,2.560409546,0.000823988,0.060394287,0.060394287,3.574218273,0
71,1,1,0.000000000,-0.599755168,2.561233521,0.000823975,0.061218262,0.061218262,3.623656988,0
72,1,1,0.000000000,-0.599760056,2.562057495,0.000823989,0.062042236,0.062042236,3.673095226,0
73,1,1,0.000000000,-0.599762917,2.562881470,0.000823980,0.062866211,0.062866211,3.722533941,0
74,1,1,0.000001907,-0.599763870,2.563705444,0.000823977,0.063690186,0.063690186,3.771972418,0
75,1,1,0.000001907,-0.599768937,2.564529419,0.000823990,0.064514160,0.064514160,3.821410418,0
76,1,1,0.000001907,-0.599771798,2.565353394,0.000823980,0.065338135,0.065338135,3.870849371,0
77,1,1,0.000001907,-0.599774778,2.566162109,0.000808721,0.066146851,0.066146851,3.920287848,0
78,1,1,0.000000000,-0.599775314,2.567001343,0.000839236,0.066970825,0.066970825,3.968810797,0
79,1,1,0.000000000,-0.599780500,2.567794800,0.000793474,0.067779541,0.067779541,4.018249035,0
80,1,1,0.000000000,-0.599783242,2.568603516,0.000808720,0.068588257,0.068588257,4.066772461,0
81,1,1,0.000000000,-0.599785924,2.569412231,0.000808720,0.069396973,0.069396973,4.115295410,0
82,1,1,0.000000000,-0.599788666,2.570220947,0.000808720,0.070205688,0.070205688,4.163818359,0
83,1,1,0.000000000,-0.599791408,2.571029663,0.000808720,0.071014404,0.071014404,4.212341309,0
84,1,1,0.000000000,-0.599794030,2.571838379,0.000808720,0.071823120,0.071823120,4.260864258,0
85,1,1,0.000000000,-0.599796653,2.572647095,0.000808720,0.072631836,0.072631836,4.309387207,0
86,1,1,0.000000000,-0.599799454,2.573455811,0.000808721,0.073440552,0.073440552,4.357910156,0
87,1,1,0.000000000,-0.599802017,2.574264526,0.000808720,0.074249268,0.074249268,4.406433105,0
88,1,1,0.000000000,-0.599802017,2.575057983,0.000793457,0.075042725,0.075042725,4.454956055,0
89,1,1,0.000000000,-0.599807262,2.575866699,0.000808733,0.075851440,0.075851440,4.502563000,0
90,1,1,0.000000000,-0.599809706,2.576660156,0.000793461,0.076644897,0.076644897,4.551086426,0
91,1,1,0.000000000,-0.599812388,2.577453613,0.000793462,0.077438354,0.077438354,4.598693371,0
92,1,1,0.000000000,-0.599814892,2.578262329,0.000808720,0.078247070,0.078247070,4.646300793,0
93,1,1,0.000000000,-0.599817455,2.579055786,0.000793461,0.079040527,0.079040527,4.694823742,0
94,1,1,0.000000000,-0.599819958,2.579849243,0.000793461,0.079833984,0.079833984,4.742431164,0
95,1,1,-0.000001907,-0.599822521,2.580642700,0.000793463,0.080627441,0.080627441,4.790038586,0
96,1,1,-0.000001907,-0.599825144,2.581436157,0.000793461,0.081420898,0.081420898,4.837646008,0
97,1,1,-0.000001907,-0.599827588,2.582214355,0.000778202,0.082199097,0.082199097,4.885253429,0
98,1,1,-0.000001907,-0.599830151,2.583007813,0.000793461,0.082992554,0.082992554,4.931945324,0
99,1,1,-0.000001907,-0.599832714,2.583801270,0.000793461,0.083786011,0.083786011,4.979552746,0
100,1,1,-0.000001907,-0.599835157,2.584579468,0.000778202,0.084564209,0.084564209,5.027160168,0
101,1,1,-0.000001907,-0.599837720,2.585372925,0.000793461,0.085357666,0.085357666,5.073852062,0
102,1,1,-0.000001907,-0.599840283,2.586151123,0.000778202,0.086135864,0.086135864,5.121459484,0
