tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
5220,1789625022805000,0.197036743,-0.599934459,0.759616852,0.000006714,1,-2.099213839,0.975582361,89.469459534,2686,89.533333333,89.483333333,0.297565073,1,0,0,1,0,1
5221,1789625022819000,0.194656372,-0.600003362,0.760286331,0.002473685,1,-2.396766901,0.975618482,89.489532471,2686,89.533333333,89.500000000,0.298229367,1,0,0,1,0,1
5222,1789625022837000,0.194610596,-0.600719571,0.990368843,0.230083629,1,-2.694319963,0.975654542,89.509605408,2687,89.566666667,89.516666667,0.298229367,1,1,0,0,0,1
5223,1789625022853000,0.204772949,-0.599883199,0.987832069,0.010507529,1,-2.992681742,0.975693226,89.527511597,2687,89.566666667,89.533333333,0.298898607,1,1,1,0,0,1
5224,1789625022870000,0.216896057,-0.599861503,0.984667778,0.012529284,1,-3.291043520,0.975731850,89.545417786,2688,89.600000000,89.550000000,0.298898607,1,1,1,0,0,1
5225,1789625022887000,0.226860046,-0.599903822,0.981654167,0.010409838,1,-3.590199471,0.975772858,89.561203003,2688,89.600000000,89.566666667,0.299572110,1,1,1,0,0,1
5226,1789625022903000,0.239341736,-0.599884033,0.977343559,0.013205086,1,-3.889355421,0.975813866,89.576988220,2689,89.633333333,89.583333333,0.299572110,1,1,1,0,0,1
5227,1789625022922000,0.249649048,-0.599923372,0.973102570,0.011145771,1,-4.189291477,0.975856423,89.590698242,2689,89.633333333,89.600000000,0.300249249,1,1,1,0,0,1
5228,1789625022937000,0.249664307,-0.599922895,0.973293304,0.000191345,1,-4.489227772,0.975898981,89.604415894,2690,89.666666667,89.616666667,0.300249815,1,1,1,0,0,1
5229,1789625022954000,0.248809814,-0.599915981,1.181019783,0.207728237,1,-4.789931297,0.975942433,89.616119385,2690,89.666666667,89.633333333,0.300931185,1,0,1,0,0,1
5230,1789625022971000,0.248771667,-0.599897146,1.147670746,0.033349067,1,-5.090635300,0.975985885,89.627815247,2691,89.700000000,89.650000000,0.300931364,1,0,1,0,0,1
5231,1789625022987000,0.246673584,-0.599928141,1.115010262,0.032727819,1,-5.392094612,0.976029396,89.637542725,2691,89.700000000,89.666666667,0.301616222,1,0,1,0,0,1
5232,1789625023003000,0.246788025,-0.599910796,1.081657410,0.033353053,1,-5.693553448,0.976072907,89.647262573,2692,89.733333333,89.683333333,0.301615477,1,0,0,1,0,1
5233,1789625023019000,0.244873047,-0.599938869,1.048999786,0.032713730,1,-5.995757103,0.976115644,89.655059814,2692,89.733333333,89.700000000,0.302304238,1,0,0,1,0,1
5234,1789625023036000,0.244911194,-0.599979103,1.061665535,0.012665870,1,-6.297960281,0.976158381,89.662857056,2693,89.766666667,89.716666667,0.302303731,1,1,0,0,0,1
