tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
9737,1789625098075000,-0.211372375,-0.598594189,-1.112861633,0.033436149,1,-68.012542725,0.968641818,57.900646210,0,164.816666667,0.000000000,0.000000000,1,0,0,1,0,1
9738,1789625098091000,-0.215103149,-0.598618984,-1.079647064,0.033423450,1,-68.097160339,0.969060421,57.573078156,0,164.833333333,0.000000000,0.000000000,1,0,0,1,0,1
9739,1789625098108000,-0.218688965,-0.598641872,-1.046424866,0.033415161,1,-68.179801941,0.969483972,57.244800568,0,164.850000000,0.000000000,0.000000000,1,0,0,1,0,1
9740,1789625098126000,-0.222114563,-0.598664045,-1.013191223,0.033409733,1,-68.260490417,0.969908595,56.915832520,0,164.866666667,0.000000000,0.000000000,1,0,0,1,0,1
9741,1789625098143000,-0.225387573,-0.598684311,-0.979953766,0.033398226,1,-68.339263916,0.970330536,56.586189270,0,164.883333333,0.000000000,0.000000000,1,0,0,1,0,1
9742,1789625098158000,-0.228500366,-0.598702669,-0.946701050,0.033398099,1,-68.416137695,0.970746160,56.255886078,0,164.900000000,0.000000000,0.000000000,1,0,0,1,0,1
9743,1789625098176000,-0.231460571,-0.598721504,-0.913440704,0.033391822,1,-68.491142273,0.971152425,55.924942017,0,164.916666667,0.000000000,0.000000000,1,0,0,1,0,1
9744,1789625098192000,-0.234222412,-0.598737240,-0.880187988,0.033367217,1,-68.564323425,0.971546292,55.593372345,0,164.933333333,0.000000000,0.000000000,1,0,0,1,0,1
9745,1789625098209000,-0.236808777,-0.598752499,-0.846920013,0.033368364,1,-68.635696411,0.971925497,55.261188507,0,164.950000000,0.000000000,0.000000000,1,0,0,1,0,1
9746,1789625098225000,-0.239219666,-0.598766565,-0.813644409,0.033362832,1,-68.705307007,0.972287834,54.928401947,0,164.966666667,0.000000000,0.000000000,1,0,0,1,0,1
9747,1789625098242000,-0.241371155,-0.598778963,-0.780361176,0.033352699,1,-68.773178101,0.972631574,54.595035553,0,164.983333333,0.000000000,0.000000000,1,0,0,1,0,1
9748,1789625098259000,-0.243293762,-0.598789930,-0.747074127,0.033342525,1,-68.839347839,0.972955227,54.261096954,0,165.000000000,0.000000000,0.000000000,1,0,0,1,0,1
9749,1789625098275000,-0.244964600,-0.598800421,-0.713790894,0.033325147,1,-68.903831482,0.973257959,53.926597595,0,165.016666667,0.000000000,0.000000000,1,0,0,1,0,1
9750,1789625098292000,-0.246719360,-0.598853111,-0.713813782,0.001755701,1,-68.966667175,0.973539114,53.591552734,0,165.033333333,0.000000000,0.000000000,1,0,0,1,0,1
9751,1789625098310000,-0.248435974,-0.598903060,-0.713840485,0.001717548,1,-69.027885437,0.973798394,53.255973816,0,165.050000000,0.000000000,0.000000000,1,0,0,1,0,1
9752,1789625098324000,-0.250137329,-0.598950863,-0.713867188,0.001702236,1,-69.087516785,0.974035919,52.919876099,0,165.066666667,0.000000000,0.000000000,1,0,0,1,0,1
9753,1789625098342000,-0.251800537,-0.598995566,-0.713890076,0.001663966,1,-69.145599365,0.974251986,52.583263397,0,165.083333333,0.000000000,0.000000000,1,0,0,1,0,1
9754,1789625098359000,-0.253410339,-0.599039078,-0.713909149,0.001610503,1,-69.202156067,0.974447072,52.246150970,0,165.100000000,0.000000000,0.000000000,1,0,0,1,0,1
9755,1789625098374000,-0.255004883,-0.599080443,-0.713924408,0.001595153,1,-69.257217407,0.974622130,51.908546448,0,165.116666667,0.000000000,0.000000000,1,0,0,1,0,1
9756,1789625098392000,-0.256584167,-0.599120975,-0.713943481,0.001579920,1,-69.310806274,0.974778116,51.570461273,0,165.133333333,0.000000000,0.000000000,1,0,0,1,0,1
9757,1789625098410000,-0.258125305,-0.599159479,-0.713966370,0.001541789,1,-69.362960815,0.974916101,51.231906891,0,165.150000000,0.000000000,0.000000000,1,0,0,1,0,1
