tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789625280721000,-0.003959656,-0.599008322,-1.566902161,0.000000000,1,30.000000000,0.977292776,-95.000000000,0,2.550000000,0.000000000,0.000000000,1,0,0,0,0,0
2,1789625280723000,-0.007905960,-0.599008083,-1.533805847,0.033330757,1,30.000001907,0.977293611,-94.999015808,0,2.566666667,0.000000000,0.000000000,1,0,0,0,0,0
3,1789625280724000,-0.014165878,-0.599008083,-1.501068115,0.033330850,1,30.000001907,0.977298975,-94.997055054,0,2.583333333,0.000000000,0.000000000,1,0,0,0,0,0
4,1789625280725000,-0.013227463,-0.599008083,-1.534393311,0.033338405,1,30.000003815,0.977307975,-94.994140625,0,2.600000000,0.000000000,0.000000000,1,0,0,1,0,1
5,1789625280725000,-0.012290955,-0.599007964,-1.567703247,0.033323098,1,30.000007629,0.977319956,-94.990272522,0,2.616666667,0.000000000,0.000000000,1,0,0,1,0,1
6,1789625280727000,-0.011352539,-0.599007905,-1.601036072,0.033346031,1,30.000009537,0.977334261,-94.985473633,0,2.633333333,0.000000000,0.000000000,1,0,0,1,0,1
7,1789625280727000,-0.010414124,-0.599007607,-1.634368896,0.033346031,1,30.000011444,0.977350116,-94.979759216,0,2.650000000,0.000000000,0.000000000,1,0,0,1,0,1
8,1789625280741000,-0.009483337,-0.599007607,-1.667686462,0.033330563,1,30.000013351,0.977367163,-94.973121643,0,2.666666667,0.000000000,0.000000000,1,0,0,1,0,1
9,1789625280756000,-0.008552551,-0.599007428,-1.701026917,0.033353444,1,30.000013351,0.977384567,-94.965576172,0,2.683333333,0.000000000,0.000000000,1,0,0,1,0,1
10,1789625280774000,-0.007625580,-0.599007010,-1.734367371,0.033353336,1,30.000013351,0.977402151,-94.957130432,0,2.700000000,0.000000000,0.000000000,1,0,0,1,0,1
11,1789625280791000,-0.006700516,-0.599006772,-1.767692566,0.033338033,1,30.000013351,0.977419257,-94.947776794,0,2.716666667,0.000000000,0.000000000,1,0,0,1,0,1
12,1789625280808000,-0.005781174,-0.599006772,-1.801040649,0.033360753,1,30.000013351,0.977435827,-94.937538147,0,2.733333333,0.000000000,0.000000000,1,0,0,1,0,1
13,1789625280823000,-0.004861832,-0.599006534,-1.834381104,0.033353128,1,30.000011444,0.977451384,-94.926406860,0,2.750000000,0.000000000,0.000000000,1,0,0,1,0,1
14,1789625280841000,-0.009832382,-0.599006414,-1.801460266,0.033293962,1,30.000011444,0.977465749,-94.914382935,0,2.766666667,0.000000000,0.000000000,1,0,0,1,0,1
15,1789625280857000,-0.014814377,-0.599006414,-1.768531799,0.033303216,1,30.000009537,0.977478862,-94.901473999,0,2.783333333,0.000000000,0.000000000,1,0,0,1,0,1
16,1789625280874000,-0.019800186,-0.599006295,-1.735610962,0.033296242,1,30.000005722,0.977490485,-94.887680054,0,2.800000000,0.000000000,0.000000000,1,0,0,1,0,1
17,1789625280890000,-0.024787903,-0.599006236,-1.702682495,0.033304073,1,30.000003815,0.977500677,-94.872993469,0,2.816666667,0.000000000,0.000000000,1,0,0,1,0,1
18,1789625280907000,-0.029771805,-0.599006295,-1.669746399,0.033311043,1,30.000001907,0.977509260,-94.857421875,0,2.833333333,0.000000000,0.000000000,1,0,0,1,0,1
19,1789625280923000,-0.034763336,-0.599006176,-1.636817932,0.033304647,1,30.000000000,0.977516413,-94.840965271,0,2.850000000,0.000000000,0.000000000,1,0,0,1,0,1
20,1789625280940000,-0.039758682,-0.599006176,-1.603897095,0.033297673,1,29.999996185,0.977522135,-94.823616028,0,2.866666667,0.000000000,0.000000000,1,0,0,1,0,1
21,1789625280956000,-0.044755936,-0.599006057,-1.570983887,0.033290416,1,29.999994278,0.977526426,-94.805389404,0,2.883333333,0.000000000,0.000000000,1,0,0,1,0,1
22,1789625280973000,-0.049758911,-0.599006176,-1.538055420,0.033306360,1,29.999992371,0.977529407,-94.786270142,0,2.900000000,0.000000000,0.000000000,1,0,0,1,0,1
23,1789625280990000,-0.054759979,-0.599006176,-1.505142212,0.033290990,1,29.999990463,0.977531314,-94.766258240,0,2.916666667,0.000000000,0.000000000,1,0,0,1,0,1
24,1789625281007000,-0.059766769,-0.599006295,-1.472213745,0.033306934,1,29.999988556,0.977532089,-94.745361328,0,2.933333333,0.000000000,0.000000000,1,0,0,1,0,1
25,1789625281023000,-0.064777374,-0.599006116,-1.439300537,0.033292424,1,29.999986649,0.977531910,-94.723579407,0,2.950000000,0.000000000,0.000000000,1,0,0,1,0,1
26,1789625281040000,-0.069791794,-0.599006295,-1.406379700,0.033300538,1,29.999986649,0.977530956,-94.700912476,0,2.966666667,0.000000000,0.000000000,1,0,0,1,0,1
27,1789625281057000,-0.074808121,-0.599006295,-1.373458862,0.033300824,1,29.999984741,0.977529347,-94.677352905,0,2.983333333,0.000000000,0.000000000,1,0,0,1,0,1
28,1789625281073000,-0.079832077,-0.599006176,-1.340530396,0.033309519,1,29.999984741,0.977527142,-94.652908325,0,3.000000000,0.000000000,0.000000000,1,0,0,1,0,1
29,1789625281090000,-0.084856033,-0.599006355,-1.307617188,0.033294436,1,29.999984741,0.977524579,-94.627578735,0,3.016666667,0.000000000,0.000000000,1,0,0,1,0,1
30,1789625281107000,-0.089883804,-0.599006474,-1.274696350,0.033302549,1,29.999984741,0.977521658,-94.601364136,0,3.033333333,0.000000000,0.000000000,1,0,0,1,0,1
31,1789625281124000,-0.094917297,-0.599006534,-1.241767883,0.033310957,1,29.999984741,0.977518559,-94.574264526,0,3.050000000,0.000000000,0.000000000,1,0,0,1,0,1
32,1789625281139000,-0.099954605,-0.599006414,-1.208854675,0.033296451,1,29.999986649,0.977515280,-94.546287537,0,3.066666667,0.000000000,0.000000000,1,0,0,1,0,1
33,1789625281157000,-0.104993820,-0.599006414,-1.175926208,0.033311825,1,29.999986649,0.977512002,-94.517425537,0,3.083333333,0.000000000,0.000000000,1,0,0,1,0,1
34,1789625281173000,-0.110038757,-0.599006474,-1.142997742,0.033312690,1,29.999988556,0.977508843,-94.487678528,0,3.100000000,0.000000000,0.000000000,1,0,0,1,0,1
35,1789625281189000,-0.115089417,-0.599006414,-1.110084534,0.033298474,1,29.999988556,0.977505744,-94.457061768,0,3.116666667,0.000000000,0.000000000,1,0,0,1,0,1
36,1789625281206000,-0.120147705,-0.599006653,-1.077163696,0.033307172,1,29.999990463,0.977502882,-94.425559998,0,3.133333333,0.000000000,0.000000000,1,0,0,1,0,1
37,1789625281223000,-0.125207901,-0.599006653,-1.044242859,0.033307463,1,29.999992371,0.977500200,-94.393188477,0,3.150000000,0.000000000,0.000000000,1,0,0,1,0,1
38,1789625281241000,-0.130271912,-0.599006414,-1.011322021,0.033308044,1,29.999994278,0.977497697,-94.359947205,0,3.166666667,0.000000000,0.000000000,1,0,0,1,0,1
39,1789625281257000,-0.135347366,-0.599006474,-0.978401184,0.033309784,1,29.999994278,0.977495551,-94.325828552,0,3.183333333,0.000000000,0.000000000,1,0,0,1,0,1
40,1789625281276000,-0.140420914,-0.599006534,-0.945487976,0.033301953,1,29.999996185,0.977493644,-94.290840149,0,3.200000000,0.000000000,0.000000000,1,0,0,1,0,1
41,1789625281290000,-0.145503998,-0.599006653,-0.912567139,0.033310950,1,29.999998093,0.977492094,-94.254981995,0,3.216666667,0.000000000,0.000000000,1,0,0,1,0,1
42,1789625281307000,-0.150594711,-0.599006534,-0.879653931,0.033304572,1,29.999998093,0.977490723,-94.218254089,0,3.233333333,0.000000000,0.000000000,1,0,0,1,0,1
43,1789625281324000,-0.155691147,-0.599006653,-0.846740723,0.033305448,1,30.000000000,0.977489650,-94.180664063,0,3.250000000,0.000000000,0.000000000,1,0,0,1,0,1
44,1789625281340000,-0.160795212,-0.599006534,-0.813842773,0.033291537,1,30.000001907,0.977488756,-94.142211914,0,3.266666667,0.000000000,0.000000000,1,0,0,1,0,1
45,1789625281358000,-0.165904999,-0.599006534,-0.780921936,0.033315033,1,30.000001907,0.977488220,-94.102897644,0,3.283333333,0.000000000,0.000000000,1,0,0,1,0,1
46,1789625281373000,-0.171024323,-0.599006712,-0.748001099,0.033316497,1,30.000003815,0.977487922,-94.062713623,0,3.300000000,0.000000000,0.000000000,1,0,0,1,0,1
47,1789625281390000,-0.176153183,-0.599006414,-0.715095520,0.033302888,1,30.000003815,0.977487743,-94.021682739,0,3.316666667,0.000000000,0.000000000,1,0,0,1,0,1
48,1789625281407000,-0.181291580,-0.599006534,-0.682197571,0.033296820,1,30.000003815,0.977487803,-93.979789734,0,3.333333333,0.000000000,0.000000000,1,0,0,1,0,1
49,1789625281423000,-0.186431885,-0.599006534,-0.649284363,0.033312190,1,30.000005722,0.977487922,-93.937034607,0,3.350000000,0.000000000,0.000000000,1,0,0,1,0,1
50,1789625281440000,-0.191589355,-0.599006474,-0.616371155,0.033314843,1,30.000005722,0.977488279,-93.893432617,0,3.366666667,0.000000000,0.000000000,1,0,0,1,0,1
51,1789625281457000,-0.196760178,-0.599006653,-0.583465576,0.033309374,1,30.000005722,0.977488637,-93.848976135,0,3.383333333,0.000000000,0.000000000,1,0,0,1,0,1
52,1789625281473000,-0.201938629,-0.599006534,-0.550552368,0.033318099,1,30.000005722,0.977489114,-93.803665161,0,3.400000000,0.000000000,0.000000000,1,0,0,1,0,1
53,1789625281490000,-0.207134247,-0.599006414,-0.517669678,0.033290625,1,30.000005722,0.977489710,-93.757507324,0,3.416666667,0.000000000,0.000000000,1,0,0,1,0,1
54,1789625281507000,-0.212341309,-0.599006593,-0.484771729,0.033307485,1,30.000005722,0.977490306,-93.710502625,0,3.433333333,0.000000000,0.000000000,1,0,0,1,0,1
55,1789625281524000,-0.217573166,-0.599006474,-0.451873779,0.033311371,1,30.000005722,0.977490902,-93.662651062,0,3.450000000,0.000000000,0.000000000,1,0,0,1,0,1
56,1789625281540000,-0.222824097,-0.599006534,-0.418975830,0.033314370,1,30.000003815,0.977491498,-93.613945007,0,3.466666667,0.000000000,0.000000000,1,0,0,1,0,1
57,1789625281556000,-0.222824097,-0.599006414,-0.418975830,0.000000119,1,30.000003815,0.977492094,-93.564399719,0,3.483333333,0.000000000,0.000000000,1,0,0,1,0,1
58,1789625281574000,-0.222822189,-0.599006414,-0.418983459,0.000007864,1,30.000003815,0.977492690,-93.514015198,0,3.500000000,0.000000000,0.000000000,1,0,0,1,0,1
59,1789625281591000,-0.222822189,-0.599006414,-0.418983459,0.000000000,1,30.000003815,0.977493286,-93.462783813,0,3.516666667,0.000000000,0.000000000,1,0,0,1,0,1
60,1789625281606000,-0.222824097,-0.599006355,-0.418983459,0.000001908,1,30.000003815,0.977493763,-93.410713196,0,3.533333333,0.000000000,0.000000000,1,0,0,1,0,1
61,1789625281623000,-0.222822189,-0.599006295,-0.418983459,0.000001908,1,30.000003815,0.977494240,-93.357803345,0,3.550000000,0.000000000,0.000000000,1,0,0,1,0,1
62,1789625281639000,-0.222822189,-0.599006116,-0.418983459,0.000000179,1,30.000003815,0.977494597,-93.304054260,0,3.566666667,0.000000000,0.000000000,1,0,0,1,0,1
63,1789625281657000,-0.222822189,-0.599006176,-0.418983459,0.000000060,1,30.000003815,0.977494955,-93.249473572,0,3.583333333,0.000000000,0.000000000,1,0,0,1,0,1
64,1789625281674000,-0.222822189,-0.599006295,-0.418983459,0.000000119,1,30.000001907,0.977495313,-93.194053650,0,3.600000000,0.000000000,0.000000000,1,0,0,1,0,1
65,1789625281690000,-0.222822189,-0.599006236,-0.418975830,0.000007630,1,30.000001907,0.977495551,-93.137802124,0,3.616666667,0.000000000,0.000000000,1,0,0,1,0,1
