tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
13984,1789619142607000,-0.029884338,-0.598508835,-2.172748566,0.032851912,1,-64.395446777,0.969120383,67.290519714,0,235.616666667,0.000000000,0.000000000
13985,1789619142624000,-0.036682129,-0.598497391,-2.139850616,0.033592932,1,-64.556022644,0.968977809,66.994674683,0,235.633333333,0.000000000,0.000000000
13986,1789619142639000,-0.043464661,-0.598482609,-2.106958389,0.033584245,1,-64.713714600,0.968811154,66.697311401,0,235.650000000,0.000000000,0.000000000
13987,1789619142656000,-0.050239563,-0.598465443,-2.074060440,0.033588313,1,-64.868438721,0.968618035,66.398460388,0,235.666666667,0.000000000,0.000000000
13988,1789619142672000,-0.057029724,-0.598447323,-2.041162491,0.033591393,1,-65.020065308,0.968395233,66.098106384,0,235.683333333,0.000000000,0.000000000
13989,1789619142688000,-0.063804626,-0.598426342,-2.008262634,0.033590183,1,-65.168487549,0.968139529,65.796257019,0,235.700000000,0.000000000,0.000000000
13990,1789619142706000,-0.070579529,-0.598402977,-1.975357056,0.033595789,1,-65.313560486,0.967846990,65.492927551,0,235.716666667,0.000000000,0.000000000
13991,1789619142723000,-0.077369690,-0.598377228,-1.942459106,0.033591397,1,-65.455139160,0.967512906,65.188125610,0,235.733333333,0.000000000,0.000000000
13992,1789619142740000,-0.084159851,-0.598346710,-1.909557343,0.033595137,1,-65.593055725,0.967132092,64.881858826,0,235.750000000,0.000000000,0.000000000
13993,1789619142757000,-0.090820313,-0.598320961,-1.876634598,0.033589724,1,-65.728462219,0.966786504,64.574417114,0,235.766666667,0.000000000,0.000000000
13994,1789619142774000,-0.097366333,-0.598299026,-1.843702316,0.033576570,1,-65.861358643,0.966475844,64.265815735,0,235.783333333,0.000000000,0.000000000
13995,1789619142789000,-0.103797913,-0.598282814,-1.810752869,0.033571292,1,-65.991737366,0.966200888,63.956073761,0,235.800000000,0.000000000,0.000000000
13996,1789619142805000,-0.110076904,-0.598270416,-1.777784348,0.033561129,1,-66.119621277,0.965962768,63.645214081,0,235.816666667,0.000000000,0.000000000
13997,1789619142822000,-0.116256714,-0.598262787,-1.744798660,0.033559583,1,-66.245018005,0.965763271,63.333259583,0,235.833333333,0.000000000,0.000000000
13998,1789619142840000,-0.122314453,-0.598259926,-1.711801529,0.033548575,1,-66.367942810,0.965604067,63.020229340,0,235.850000000,0.000000000,0.000000000
13999,1789619142857000,-0.128250122,-0.598262310,-1.678792953,0.033538010,1,-66.488418579,0.965486884,62.706150055,0,235.866666667,0.000000000,0.000000000
14000,1789619142875000,-0.134063721,-0.598268509,-1.645757675,0.033542920,1,-66.606468201,0.965413094,62.391048431,0,235.883333333,0.000000000,0.000000000
14001,1789619142889000,-0.139755249,-0.598278999,-1.612716675,0.033527620,1,-66.722114563,0.965383828,62.074939728,0,235.900000000,0.000000000,0.000000000
14002,1789619142908000,-0.145332336,-0.598293304,-1.579666138,0.033517789,1,-66.835395813,0.965399742,61.757858276,0,235.916666667,0.000000000,0.000000000
14003,1789619142923000,-0.150787354,-0.598309517,-1.546596527,0.033516511,1,-66.946319580,0.965460658,61.439811707,0,235.933333333,0.000000000,0.000000000
14004,1789619142940000,-0.156120300,-0.598330498,-1.513523102,0.033500630,1,-67.054924011,0.965566397,61.120834351,0,235.950000000,0.000000000,0.000000000
14005,1789619142956000,-0.161323547,-0.598352909,-1.480426788,0.033502840,1,-67.161239624,0.965715468,60.800937653,0,235.966666667,0.000000000,0.000000000
14006,1789619142973000,-0.166404724,-0.598377228,-1.447319031,0.033495411,1,-67.265289307,0.965906501,60.480148315,0,235.983333333,0.000000000,0.000000000
14007,1789619142989000,-0.171386719,-0.598402500,-1.414203644,0.033488054,1,-67.367088318,0.966137052,60.158481598,0,236.000000000,0.000000000,0.000000000
14008,1789619143007000,-0.176223755,-0.598428726,-1.381072998,0.033481896,1,-67.466682434,0.966404438,59.835960388,0,236.016666667,0.000000000,0.000000000
14009,1789619143022000,-0.180969238,-0.598457336,-1.347938538,0.033472568,1,-67.564086914,0.966705501,59.512603760,0,236.033333333,0.000000000,0.000000000
14010,1789619143039000,-0.185562134,-0.598485470,-1.314788818,0.033466391,1,-67.659339905,0.967036605,59.188430786,0,236.050000000,0.000000000,0.000000000
14011,1789619143056000,-0.190048218,-0.598512411,-1.281623840,0.033467017,1,-67.752456665,0.967393816,58.863460541,0,236.066666667,0.000000000,0.000000000
14012,1789619143073000,-0.194427490,-0.598539829,-1.248458862,0.033452868,1,-67.843475342,0.967773318,58.537712097,0,236.083333333,0.000000000,0.000000000
14013,1789619143089000,-0.198661804,-0.598565102,-1.215278625,0.033449337,1,-67.932418823,0.968170524,58.211200714,0,236.100000000,0.000000000,0.000000000
