tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
102,1789618911234000,0.191728592,-0.601459146,0.722145081,0.000833871,1,29.999998093,0.977494538,-90.905822754,127,4.233333333,4.183333333,0.081809998
103,1789618911251000,0.191728592,-0.602250576,0.723716736,0.001759677,1,29.999998093,0.977494597,-90.822433472,127,4.233333333,4.200000000,0.083389282
104,1789618911267000,0.191726685,-0.602991939,0.723709106,0.000741404,1,29.999998093,0.977494597,-90.739051819,128,4.266666667,4.216666667,0.083381653
105,1789618911284000,0.191728592,-0.603696108,0.725280762,0.001722196,1,29.999998093,0.977494597,-90.654098511,128,4.266666667,4.233333333,0.084953308
106,1789618911300000,0.191726685,-0.600262284,0.725296021,0.003433858,1,29.999998093,0.977494657,-90.569137573,129,4.300000000,4.250000000,0.084960938
107,1789618911317000,0.191728592,-0.601122618,0.726860046,0.001785036,1,29.999998093,0.977494717,-90.482604980,129,4.300000000,4.266666667,0.086532593
108,1789618911334000,0.191726685,-0.601928830,0.726852417,0.000806251,1,29.999998093,0.977494717,-90.396080017,130,4.333333333,4.283333333,0.086524963
109,1789618911351000,0.191728592,-0.602694273,0.728408813,0.001734438,1,29.999998093,0.977494717,-90.307991028,130,4.333333333,4.300000000,0.088088989
110,1789618911368000,0.191728592,-0.603411198,0.728408813,0.000716925,1,29.999998093,0.977494717,-90.219902039,131,4.366666667,4.316666667,0.088088989
111,1789618911383000,0.191728592,-0.600272536,0.729972839,0.003506761,1,29.999998093,0.977494717,-90.130256653,131,4.366666667,4.333333333,0.089645386
112,1789618911401000,0.191728592,-0.601127982,0.729972839,0.000855446,1,29.999998093,0.977494717,-90.040611267,132,4.400000000,4.350000000,0.089645386
113,1789618911417000,0.191726685,-0.601939738,0.731521606,0.001748608,1,29.999998093,0.977494717,-89.949417114,132,4.400000000,4.366666667,0.091194153
114,1789618911434000,0.191728592,-0.602700353,0.731521606,0.000760617,1,29.999998093,0.977494717,-89.858215332,133,4.433333333,4.383333333,0.091201782
115,1789618911450000,0.191726685,-0.599879920,0.733078003,0.003221368,1,29.999998093,0.977494717,-89.765472412,133,4.433333333,4.400000000,0.092742920
116,1789618911467000,0.186744690,-0.599310398,0.766021729,0.033323172,1,29.999998093,0.977494776,-89.672721863,134,4.466666667,4.416666667,0.092750549
117,1789618911484000,0.181758881,-0.599315047,0.800491333,0.034828320,1,29.999998093,0.977494776,-89.578430176,134,4.466666667,4.433333333,0.094291687
118,1789618911500000,0.176767349,-0.599315286,0.833412170,0.033297099,1,29.999998093,0.977494776,-89.484146118,135,4.500000000,4.450000000,0.094284058
119,1789618911516000,0.171775818,-0.599320173,0.867881775,0.034829140,1,29.999998093,0.977494776,-89.388320923,135,4.500000000,4.466666667,0.095825195
120,1789618911534000,0.166780472,-0.599320173,0.900802612,0.033297673,1,29.999998093,0.977494776,-89.292503357,136,4.533333333,4.483333333,0.095817566
121,1789618911551000,0.161783218,-0.599325061,0.935264587,0.034822412,1,30.000000000,0.977494776,-89.195152283,136,4.533333333,4.500000000,0.097351074
122,1789618911566000,0.156780243,-0.599324703,0.968185425,0.033298817,1,30.000000000,0.977494776,-89.097801208,137,4.566666667,4.516666667,0.097351074
123,1789618911584000,0.151775360,-0.599330187,1.002639771,0.034815956,1,30.000000000,0.977494776,-88.998924255,137,4.566666667,4.533333333,0.098876953
124,1789618911601000,0.146764755,-0.599330127,1.035568237,0.033307508,1,30.000000000,0.977494776,-88.900047302,138,4.600000000,4.550000000,0.098876953
125,1789618911617000,0.141756058,-0.599335074,1.070022583,0.034816504,1,30.000000000,0.977494776,-88.799644470,138,4.600000000,4.566666667,0.100402832
126,1789618911634000,0.136734009,-0.599335134,1.102943420,0.033301689,1,30.000000000,0.977494776,-88.699241638,139,4.633333333,4.583333333,0.100402832
127,1789618911650000,0.131715775,-0.599340141,1.137382507,0.034802780,1,30.000000000,0.977494776,-88.597320557,139,4.633333333,4.600000000,0.101921082
128,1789618911667000,0.126688004,-0.599340141,1.170295715,0.033295009,1,30.000000000,0.977494776,-88.495407104,140,4.666666667,4.616666667,0.101913452
129,1789618911683000,0.121660233,-0.599345148,1.204727173,0.034796607,1,30.000000000,0.977494776,-88.391983032,140,4.666666667,4.633333333,0.103424072
130,1789618911700000,0.116622925,-0.599345028,1.237655640,0.033311535,1,30.000000000,0.977494776,-88.288551331,141,4.700000000,4.650000000,0.103431702
131,1789618911717000,0.111587524,-0.599349976,1.272079468,0.034790158,1,30.000000000,0.977494776,-88.183616638,141,4.700000000,4.666666667,0.104934692
132,1789618911733000,0.106536865,-0.599349856,1.305000305,0.033306014,1,30.000000000,0.977494776,-88.078681946,142,4.733333333,4.683333333,0.104934692
133,1789618911751000,0.101493835,-0.599354982,1.339424133,0.034791265,1,30.000000000,0.977494776,-87.972244263,142,4.733333333,4.700000000,0.106437683
134,1789618911767000,0.096433640,-0.599354744,1.372337341,0.033299923,1,30.000000000,0.977494776,-87.865814209,143,4.766666667,4.716666667,0.106430054
135,1789618911783000,0.091377258,-0.599359751,1.406761169,0.034793202,1,30.000000000,0.977494776,-87.757881165,143,4.766666667,4.733333333,0.107933044
136,1789618911800000,0.086305618,-0.599359810,1.439682007,0.033309203,1,30.000000000,0.977494776,-87.649948120,144,4.800000000,4.750000000,0.107933044
137,1789618911818000,0.081232071,-0.599364638,1.474098206,0.034788154,1,30.000000000,0.977494776,-87.540527344,144,4.800000000,4.766666667,0.109420776
138,1789618911833000,0.076145172,-0.599364638,1.507011414,0.033303991,1,30.000000000,0.977494776,-87.431106567,145,4.833333333,4.783333333,0.109420776
139,1789618911850000,0.071060181,-0.599369526,1.541404724,0.034767181,1,30.000000000,0.977494776,-87.320205688,145,4.833333333,4.800000000,0.110900879
140,1789618911868000,0.065958023,-0.599369526,1.574325562,0.033313863,1,30.000000000,0.977494776,-87.209297180,146,4.866666667,4.816666667,0.110908508
141,1789618911884000,0.060855865,-0.599374175,1.608718872,0.034769695,1,30.000000000,0.977494776,-87.096908569,146,4.866666667,4.833333333,0.112388611
142,1789618911900000,0.055734634,-0.599374235,1.641624451,0.033301711,1,30.000000000,0.977494776,-86.984527588,147,4.900000000,4.850000000,0.112380981
143,1789618911917000,0.050613403,-0.599378943,1.676017761,0.034772500,1,30.000000000,0.977494776,-86.870666504,147,4.900000000,4.866666667,0.113861084
144,1789618911933000,0.045473099,-0.599379182,1.708930969,0.033312190,1,30.000000000,0.977494776,-86.756797791,148,4.933333333,4.883333333,0.113868713
145,1789618911952000,0.040328979,-0.599384069,1.743301392,0.034753244,1,30.000000000,0.977494776,-86.641464233,148,4.933333333,4.900000000,0.115333557
146,1789618911968000,0.035160065,-0.599383950,1.776214600,0.033316616,1,30.000000000,0.977494776,-86.526130676,149,4.966666667,4.916666667,0.115333557
147,1789618911984000,0.029987335,-0.599388778,1.810577393,0.034749944,1,30.000000000,0.977494717,-86.409332275,149,4.966666667,4.933333333,0.116798401
148,1789618912000000,0.024780273,-0.599388719,1.843475342,0.033307485,1,30.000000000,0.977494717,-86.292533875,150,5.000000000,4.950000000,0.116798401
149,1789618912017000,0.030725479,-0.599393368,1.812110901,0.031922933,1,30.000000000,0.977494717,-86.174270630,150,5.000000000,4.966666667,0.118263245
150,1789618912033000,0.036663055,-0.599393308,1.779281616,0.033361904,1,30.000000000,0.977494717,-86.056007385,151,5.033333333,4.983333333,0.118263245
151,1789618912052000,0.042600632,-0.599398077,1.747901917,0.031936504,1,30.000000000,0.977494717,-85.936294556,151,5.033333333,5.000000000,0.119712830
152,1789618912068000,0.048530579,-0.599398136,1.715080261,0.033353042,1,30.000000000,0.977494717,-85.816574097,152,5.066666667,5.016666667,0.119720459
153,1789618912084000,0.054462433,-0.599402785,1.683700562,0.031935442,1,30.000000000,0.977494717,-85.695404053,152,5.066666667,5.033333333,0.121170044
154,1789618912100000,0.060386658,-0.599402785,1.650878906,0.033352025,1,30.000000000,0.977494717,-85.574226379,153,5.100000000,5.050000000,0.121177673
155,1789618912117000,0.066307068,-0.599407911,1.619483948,0.031948313,1,30.000000000,0.977494717,-85.451614380,153,5.100000000,5.066666667,0.122612000
156,1789618912133000,0.072223663,-0.599408388,1.586662292,0.033350669,1,30.000000000,0.977494717,-85.328994751,154,5.133333333,5.083333333,0.122619629
