tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
3533,44.5982,0.3397,5.1186,44.8397,0.0667,1,0.0000
3534,44.6318,0.3386,5.2913,44.8910,0.1759,1,0.0000
3535,44.6318,0.3388,5.2246,44.8841,0.0667,1,0.0000
3536,44.6668,0.3307,5.3947,44.9366,0.1739,1,0.0000
3537,44.6668,0.3309,5.3280,44.9295,0.0667,1,0.0000
3538,44.7032,0.3194,5.4944,44.9834,0.1707,1,0.0000
3539,44.7032,0.3196,5.4277,44.9761,0.0667,1,0.0000
3540,44.7410,0.3080,5.5889,45.0311,0.1659,1,0.0000
3541,44.7410,0.3082,5.5222,45.0238,0.0667,1,0.0000
3542,44.7802,0.2998,5.6765,45.0798,0.1594,1,0.0000
3543,44.7802,0.3000,5.6099,45.0723,0.0667,1,0.0000
3544,44.8210,0.2979,5.7553,45.1293,0.1511,1,0.0000
3545,44.8210,0.2981,5.6886,45.1217,0.0667,1,0.0000
3546,44.8635,0.3047,5.8228,45.1794,0.1409,1,0.0000
3547,44.8635,0.3049,5.7561,45.1717,0.0667,1,0.0000
3548,44.9151,0.3968,5.7723,45.2267,0.1066,1,0.0000
3549,44.9151,0.3969,5.7056,45.2191,0.0667,1,0.0000
3550,44.9871,0.7359,5.3676,45.2622,0.4840,1,0.0000
3551,44.9871,0.7360,5.3009,45.2552,0.0667,1,0.0000
3552,45.0587,1.2144,4.7389,45.2878,0.7415,1,0.0000
3553,45.0587,1.2145,4.6722,45.2817,0.0667,1,0.0000
3554,45.1148,1.7573,3.9680,45.3042,0.8910,1,0.0000
3555,45.1148,1.7574,3.9013,45.2992,0.0667,1,0.0000
3556,45.1467,2.3089,3.1085,45.3116,0.9663,1,0.0000
3557,45.1467,2.3090,3.0418,45.3079,0.0667,1,0.0000
3558,45.1509,2.8280,2.1959,45.3101,0.9924,1,0.0000
3559,45.1509,2.8281,2.1293,45.3077,0.0667,1,0.0000
3560,45.1273,3.2865,1.2517,45.2995,0.9904,1,0.0000
3561,45.1273,3.2866,1.1850,45.2985,0.0667,1,0.0000
