tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
3478,-0.2951,-0.6013,-0.0384,0.6731,0.6368,1,0.0013
3479,-0.2877,-0.5990,-0.5419,1.1452,0.5035,1,0.0000
3480,-0.2918,-0.6012,0.0965,0.5533,0.6384,1,0.0012
3481,-0.2854,-0.5990,-0.4086,1.0161,0.5052,1,0.0000
3482,-0.2891,-0.6011,0.2314,0.4426,0.6400,1,0.0011
3483,-0.2836,-0.5990,-0.2754,0.8884,0.5068,1,0.0000
3484,-0.2868,-0.6010,0.3663,0.3498,0.6417,1,0.0010
3485,-0.2823,-0.5990,-0.1421,0.7629,0.5084,1,0.0000
3486,-0.2851,-0.6009,0.5012,0.2925,0.6433,1,0.0009
3487,-0.2816,-0.5990,-0.0088,0.6406,0.5101,1,0.0000
3488,-0.2840,-0.6009,0.6361,0.2924,0.6450,1,0.0009
3489,-0.2813,-0.5990,0.1244,0.5240,0.5117,1,0.0000
3490,-0.2833,-0.6008,0.7710,0.3494,0.6466,1,0.0008
3491,-0.2814,-0.5990,0.2577,0.4178,0.5133,1,0.0000
3492,-0.2830,-0.6008,0.9060,0.4419,0.6482,1,0.0008
3493,-0.2818,-0.5990,0.3910,0.3321,0.5150,1,0.0000
3494,-0.2831,-0.6007,1.0409,0.5523,0.6499,1,0.0007
3495,-0.2825,-0.5990,0.5243,0.2856,0.5166,1,0.0000
3496,-0.2833,-0.6007,1.1758,0.6718,0.6515,1,0.0007
3497,-0.2832,-0.5990,0.6575,0.2975,0.5182,1,0.0000
3498,-0.2837,-0.6007,1.3107,0.7963,0.6531,1,0.0007
3499,-0.2840,-0.5990,0.7908,0.3619,0.5199,1,0.0000
3500,-0.2841,-0.6007,1.4456,0.9237,0.6548,1,0.0007
3501,-0.2848,-0.5990,0.9241,0.4571,0.5215,1,0.0000
3502,-0.2844,-0.6007,1.5804,1.0530,0.6564,1,0.0007
3503,-0.2854,-0.5990,1.0574,0.5677,0.5231,1,0.0000
3504,-0.2846,-0.6008,1.7153,1.1835,0.6580,1,0.0008
3505,-0.2859,-0.5990,1.1906,0.6864,0.5247,1,0.0000
3506,-0.2847,-0.6008,1.8502,1.3148,0.6596,1,0.0008
3507,-0.2878,-0.5990,1.3239,0.8102,0.5263,1,0.0000
3508,-0.2861,-0.6008,1.9851,1.4471,0.6612,1,0.0008
3509,-0.2898,-0.5990,1.4572,0.9366,0.5279,1,0.0000
3510,-0.2874,-0.6011,2.1200,1.5798,0.6628,1,0.0011
3511,-0.2927,-0.5990,1.5905,1.0649,0.5296,1,0.0000
3512,-0.2890,-0.6012,2.2548,1.7128,0.6643,1,0.0012
3513,-0.2965,-0.5990,1.7237,1.1945,0.5311,1,0.0000
3514,-0.2911,-0.6013,2.3895,1.8460,0.6658,1,0.0013
3515,-0.3007,-0.5990,1.8570,1.3250,0.5326,1,0.0000
3516,-0.2936,-0.6013,2.5242,1.9795,0.6672,1,0.0013
3517,-0.3052,-0.5990,1.8570,1.3260,0.6673,1,0.0000
3518,-0.2986,-0.6013,2.3922,1.8498,0.5353,1,0.0013
3519,-0.3099,-0.5989,1.7236,1.1978,0.6687,1,0.0000
3520,-0.3040,-0.6012,2.2601,1.7206,0.5366,1,0.0012
3521,-0.3147,-0.5989,1.5902,1.0709,0.6700,1,0.0000
3522,-0.3095,-0.6011,2.1281,1.5918,0.5379,1,0.0011
3523,-0.3195,-0.5989,1.4568,0.9458,0.6713,1,0.0000
3524,-0.3152,-0.6010,1.9960,1.4637,0.5392,1,0.0010
3525,-0.2992,-0.5981,1.3417,0.8308,0.6545,1,0.0000
3526,-0.2739,-0.6001,1.8931,1.3545,0.5520,1,0.0001
3527,-0.2592,-0.5981,1.2281,0.7104,0.6652,1,0.0000
3528,-0.2565,-0.6007,1.7693,1.2297,0.5412,1,0.0007
3529,-0.2588,-0.5989,1.0947,0.5881,0.6746,1,0.0000
3530,-0.2571,-0.6006,1.6371,1.1009,0.5425,1,0.0006
3531,-0.2581,-0.5989,0.9613,0.4716,0.6759,1,0.0000
3532,-0.2574,-0.6005,1.5049,0.9730,0.5437,1,0.0005
3533,-0.2578,-0.5989,0.8278,0.3670,0.6771,1,0.0000
3534,-0.2582,-0.6005,1.3728,0.8465,0.5449,1,0.0005
3535,-0.2579,-0.5989,0.6944,0.2878,0.6783,1,0.0000
3536,-0.2593,-0.6005,1.2406,0.7221,0.5461,1,0.0005
3537,-0.2581,-0.5989,0.5610,0.2582,0.6796,1,0.0000
3538,-0.2607,-0.6006,1.1084,0.6013,0.5474,1,0.0006
3539,-0.2585,-0.5989,0.4276,0.2935,0.6808,1,0.0000
3540,-0.2623,-0.6006,0.9762,0.4864,0.5486,1,0.0006
3541,-0.2589,-0.5989,0.2942,0.3758,0.6820,1,0.0000
3542,-0.2639,-0.6007,0.8439,0.3828,0.5498,1,0.0007
3543,-0.2592,-0.5989,0.1607,0.4816,0.6832,1,0.0000
3544,-0.2656,-0.6008,0.7117,0.3026,0.5510,1,0.0008
3545,-0.2593,-0.5989,0.0273,0.5984,0.6844,1,0.0000
3546,-0.2671,-0.6008,0.5794,0.2674,0.5521,1,0.0008
3547,-0.2591,-0.5989,-0.1062,0.7209,0.6856,1,0.0000
3548,-0.2719,-0.6013,0.4461,0.2974,0.5524,1,0.0013
3549,-0.2576,-0.5994,-0.2397,0.8464,0.6859,1,0.0000
3550,-0.2835,-0.6027,0.3101,0.3823,0.5504,1,0.0027
3551,-0.2490,-0.5994,-0.3735,0.9725,0.6845,1,0.0000
3552,-0.2831,-0.6035,0.1742,0.4839,0.5487,1,0.0035
3553,-0.2353,-0.5993,-0.5076,1.0997,0.6835,1,0.0000
3554,-0.2758,-0.6038,0.0381,0.5962,0.5472,1,0.0038
3555,-0.2192,-0.5991,-0.6420,1.2283,0.6824,1,0.0000
3556,-0.2649,-0.6039,-0.0981,0.7156,0.5458,1,0.0039
3557,-0.2025,-0.5989,-0.7765,1.3583,0.6812,1,0.0000
3558,-0.2527,-0.6038,-0.2345,0.8400,0.5443,1,0.0038
3559,-0.1864,-0.5987,-0.9111,1.4894,0.6799,1,0.0000
3560,-0.2410,-0.6038,-0.3709,0.9680,0.5430,1,0.0038
3561,-0.1720,-0.5985,-1.0459,1.6216,0.6785,1,0.0000
3562,-0.2309,-0.6039,-0.5074,1.0986,0.5417,1,0.0039
3563,-0.1599,-0.5982,-1.1807,1.7545,0.6770,1,0.0000
3564,-0.2234,-0.6042,-0.6441,1.2311,0.5404,1,0.0042
3565,-0.1575,-0.5978,-1.3197,1.8929,0.6789,1,0.0000
3566,-0.2286,-0.6047,-0.7844,1.3702,0.5401,1,0.0047
3567,-0.1761,-0.5971,-1.4547,2.0289,0.6724,1,0.0000
3568,-0.2513,-0.6052,-0.9202,1.5079,0.5398,1,0.0052
3569,-0.1948,-0.5970,-1.5897,2.1651,0.6719,1,0.0000
3570,-0.2740,-0.6057,-1.0561,1.6457,0.5395,1,0.0057
3571,-0.2134,-0.5969,-1.7248,2.3013,0.6715,1,0.0000
3572,-0.2968,-0.6062,-1.1921,1.7836,0.5393,1,0.0062
3573,-0.2319,-0.5970,-1.8599,2.4376,0.6710,1,0.0000
