tick,local_x,local_y,local_z,drift_m,slip_m,on_bus_support,below_depth_m
1725,-0.2807,-0.5927,2.0652,1.5273,0.0662,1,0.0000
1726,-0.2844,-0.5935,1.9991,1.4632,0.0661,1,0.0000
1727,-0.2848,-0.5924,1.9331,1.3986,0.0661,1,0.0000
1728,-0.2882,-0.5927,1.8673,1.3349,0.0659,1,0.0000
1729,-0.2886,-0.5916,1.8014,1.2708,0.0659,1,0.0000
1730,-0.2919,-0.5914,1.7358,1.2078,0.0657,1,0.0000
1731,-0.2922,-0.5903,1.6701,1.1442,0.0657,1,0.0000
1732,-0.2953,-0.5896,1.6047,1.0820,0.0654,1,0.0000
1733,-0.2784,-0.5884,1.5421,1.0172,0.0648,1,0.0000
1734,-0.2814,-0.5873,1.4770,0.9556,0.0652,1,0.0000
1735,-0.2780,-0.5861,1.4118,0.8924,0.0654,1,0.0000
1736,-0.2759,-0.5846,1.3469,0.8304,0.0649,1,0.0000
1737,-0.2714,-0.5833,1.2819,0.7678,0.0652,1,0.0000
1738,-0.2690,-0.5839,1.2162,0.7059,0.0657,1,0.0000
1739,-0.2661,-0.5828,1.1515,0.6453,0.0648,1,0.0000
1740,-0.2656,-0.5819,1.0862,0.5863,0.0653,1,0.0000
1741,-0.2638,-0.5808,1.0217,0.5287,0.0645,1,0.0000
1742,-0.2644,-0.5817,0.9572,0.4743,0.0645,1,0.0000
1743,-0.2618,-0.5808,0.8930,0.4210,0.0643,1,0.0000
1744,-0.2617,-0.5854,0.8288,0.3727,0.0643,1,0.0000
1745,-0.2590,-0.5848,0.7647,0.3281,0.0641,1,0.0000
1746,-0.2587,-0.5889,0.7007,0.2929,0.0641,1,0.0000
1747,-0.2560,-0.5886,0.6368,0.2663,0.0640,1,0.0000
1748,-0.2556,-0.5921,0.5728,0.2559,0.0641,1,0.0000
1749,-0.2529,-0.5921,0.5088,0.2589,0.0640,1,0.0000
1750,-0.2526,-0.5948,0.4448,0.2792,0.0640,1,0.0000
1751,-0.2499,-0.5949,0.3808,0.3097,0.0640,1,0.0000
1752,-0.2496,-0.5969,0.3168,0.3512,0.0641,1,0.0000
1753,-0.2470,-0.5971,0.2527,0.3972,0.0641,1,0.0000
1754,-0.2469,-0.5984,0.1886,0.4492,0.0641,1,0.0000
1755,-0.2444,-0.5987,0.1245,0.5028,0.0642,1,0.0000
1756,-0.2445,-0.5994,0.0603,0.5598,0.0642,1,0.0000
1757,-0.2421,-0.5997,-0.0039,0.6172,0.0642,1,0.0000
1758,-0.2423,-0.5999,-0.0682,0.6769,0.0643,1,0.0000
1759,-0.2399,-0.6001,-0.1325,0.7365,0.0643,1,0.0001
1760,-0.2403,-0.6000,-0.1968,0.7977,0.0644,1,0.0000
1761,-0.2380,-0.6002,-0.2612,0.8587,0.0644,1,0.0002
1762,-0.2385,-0.5999,-0.3256,0.9209,0.0644,1,0.0000
1763,-0.2363,-0.5999,-0.3900,0.9826,0.0644,1,0.0000
1764,-0.2311,-0.5979,-0.4549,1.0446,0.0651,1,0.0000
1765,-0.2312,-0.5981,-0.5193,1.1075,0.0644,1,0.0000
1766,-0.2281,-0.5942,-0.5841,1.1704,0.0650,1,0.0000
1767,-0.2281,-0.5946,-0.6486,1.2337,0.0645,1,0.0000
1768,-0.2268,-0.5906,-0.7135,1.2973,0.0650,1,0.0000
1769,-0.2267,-0.5912,-0.7780,1.3609,0.0646,1,0.0000
1770,-0.2255,-0.5873,-0.8430,1.4248,0.0651,1,0.0000
1771,-0.2254,-0.5881,-0.9077,1.4888,0.0647,1,0.0000
1772,-0.2251,-0.5844,-0.9730,1.5533,0.0654,1,0.0000
1773,-0.2250,-0.5855,-1.0380,1.6176,0.0650,1,0.0000
1774,-0.2250,-0.5819,-1.1035,1.6826,0.0657,1,0.0000
1775,-0.2249,-0.5831,-1.1687,1.7472,0.0652,1,0.0000
1776,-0.2249,-0.5796,-1.2345,1.8124,0.0659,1,0.0000
1777,-0.2248,-0.5811,-1.3000,1.8774,0.0655,1,0.0000
1778,-0.2248,-0.5776,-1.3660,1.9430,0.0661,1,0.0000
1779,-0.2248,-0.5792,-1.4317,2.0083,0.0658,1,0.0000
1780,-0.2247,-0.5758,-1.4980,2.0742,0.0663,1,0.0000
1781,-0.2247,-0.5776,-1.5641,2.1399,0.0661,1,0.0000
1782,-0.2224,-0.5772,-1.6301,2.2053,0.0660,1,0.0000
1783,-0.2223,-0.5790,-1.6964,2.2713,0.0664,1,0.0000
1784,-0.2199,-0.5825,-1.7624,2.3367,0.0661,1,0.0000
1785,-0.2198,-0.5841,-1.8290,2.4030,0.0666,1,0.0000
1786,-0.2180,-0.5884,-1.8951,2.4686,0.0663,1,0.0000
1787,-0.2180,-0.5898,-1.9618,2.5350,0.0667,1,0.0000
1788,-0.2166,-0.5942,-2.0278,2.6007,0.0661,1,0.0000
1789,-0.2165,-0.5953,-2.0946,2.6672,0.0668,1,0.0000
1790,-0.2152,-0.5959,-2.1604,2.7327,0.0658,1,0.0000
1791,-0.2151,-0.5968,-2.2272,2.7993,0.0669,1,0.0000
1792,-0.2140,-0.5924,-2.2933,2.8651,0.0662,1,0.0000
1793,-0.2139,-0.5932,-2.3602,2.9319,0.0669,1,0.0000
1794,-0.2127,-0.5881,-2.4268,2.9982,0.0668,1,0.0000
1795,-0.2127,-0.5890,-2.4937,3.0650,0.0670,1,0.0000
1796,-0.2115,-0.5841,-2.5604,3.1314,0.0668,1,0.0000
1797,-0.2118,-0.5856,-2.4944,3.0656,0.0660,1,0.0000
1798,-0.2111,-0.5821,-2.4281,2.9995,0.0664,1,0.0000
1799,-0.2114,-0.5836,-2.3624,2.9339,0.0658,1,0.0000
