tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789602402702000,0.007234573,-0.598980188,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716
2,1789602402704000,0.014467239,-0.598980248,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,76,2.533333333,2.516666667,0.000027716
3,1789602402704000,0.021699905,-0.598994255,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,76,2.533333333,2.533333333,0.000013530
4,1789602402704000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,76,2.533333333,2.550000000,0.000013530
5,1789602402714000,0.027770996,-0.599006176,1.696823120,0.033330183,1,30.000000000,0.977295339,-95.000000000,78,2.600000000,2.566666667,0.000001729
6,1789602402732000,0.024730682,-0.599006295,1.730018616,0.033334430,1,30.000000000,0.977293611,-95.000000000,79,2.633333333,2.583333333,0.000001729
7,1789602402751000,0.021686554,-0.599265933,1.764602661,0.034718733,1,30.000000000,0.977300823,-94.998527527,79,2.633333333,2.600000000,0.001472491
8,1789602402764000,0.018634796,-0.599270940,1.797798157,0.033335477,1,30.000001907,0.977308035,-94.997055054,80,2.666666667,2.616666667,0.001472492
9,1789602402781000,0.015575409,-0.599501848,1.832832336,0.035168268,1,30.000003815,0.977321208,-94.993667603,80,2.666666667,2.633333333,0.003387477
10,1789602402797000,0.021804810,-0.599494159,1.800102234,0.033317640,1,30.000007629,0.977334380,-94.990272522,81,2.700000000,2.650000000,0.003395108
11,1789602402816000,0.028036118,-0.599579453,1.769187927,0.031536184,1,30.000009537,0.977350950,-94.985015869,81,2.700000000,2.666666667,0.005256679
12,1789602402831000,0.034255981,-0.599570751,1.736427307,0.033345841,1,30.000011444,0.977367461,-94.979759216,82,2.733333333,2.683333333,0.005256679
13,1789602402848000,0.040472031,-0.599562705,1.705505371,0.031540535,1,30.000011444,0.977385044,-94.972671509,82,2.733333333,2.700000000,0.007087729
14,1789602402864000,0.046682358,-0.599554539,1.672752380,0.033336565,1,30.000013351,0.977402627,-94.965576172,83,2.766666667,2.716666667,0.007095359
15,1789602402886000,0.052892685,-0.599490702,1.641822815,0.031546954,1,30.000013351,0.977419496,-94.956680298,83,2.766666667,2.733333333,0.008895890
16,1789602402898000,0.059089661,-0.599483967,1.609069824,0.033334080,1,30.000013351,0.977436423,-94.947776794,84,2.800000000,2.750000000,0.008903519
17,1789602402914000,0.065288544,-0.599394441,1.578109741,0.031574689,1,30.000011444,0.977451384,-94.937088013,84,2.800000000,2.766666667,0.010688792
18,1789602402930000,0.071481705,-0.599389315,1.545326233,0.033363357,1,30.000011444,0.977466345,-94.926406860,85,2.833333333,2.783333333,0.010681163
19,1789602402947000,0.077676773,-0.599295735,1.514373779,0.031566471,1,30.000011444,0.977478683,-94.913940430,85,2.833333333,2.800000000,0.012466436
20,1789602402965000,0.083852768,-0.599292397,1.481605530,0.033345181,1,30.000009537,0.977491021,-94.901473999,86,2.866666667,2.816666667,0.012466437
21,1789602402981000,0.090030670,-0.599208236,1.450630188,0.031585522,1,30.000007629,0.977500319,-94.887237549,86,2.866666667,2.833333333,0.014236453
22,1789602402999000,0.096193314,-0.599206328,1.417854309,0.033350207,1,30.000003815,0.977509618,-94.872993469,87,2.900000000,2.850000000,0.014244083
23,1789602403014000,0.102363586,-0.599139452,1.386878967,0.031583991,1,30.000001907,0.977515996,-94.856979370,87,2.900000000,2.866666667,0.016014101
24,1789602403031000,0.108512878,-0.599138618,1.354095459,0.033355244,1,30.000000000,0.977522373,-94.840965271,88,2.933333333,2.883333333,0.016014101
25,1789602403047000,0.114662170,-0.599090576,1.323097229,0.031602316,1,29.999996185,0.977525949,-94.823181152,88,2.933333333,2.900000000,0.017784119
26,1789602403064000,0.120800018,-0.599090397,1.290321350,0.033345636,1,29.999994278,0.977529526,-94.805389404,89,2.966666667,2.916666667,0.017791748
27,1789602403080000,0.126935959,-0.599060893,1.259330750,0.031592213,1,29.999992371,0.977530837,-94.785827637,89,2.966666667,2.933333333,0.019561768
28,1789602403097000,0.133060455,-0.599061251,1.226531982,0.033365678,1,29.999990463,0.977532148,-94.766258240,90,3.000000000,2.950000000,0.019569397
29,1789602403114000,0.139181137,-0.599046648,1.195503235,0.031626668,1,29.999988556,0.977531552,-94.744918823,90,3.000000000,2.966666667,0.021339417
30,1789602403131000,0.145284653,-0.599046946,1.162689209,0.033376835,1,29.999986649,0.977530897,-94.723579407,91,3.033333333,2.983333333,0.021339417
31,1789602403152000,0.151386261,-0.599044323,1.131660461,0.031622980,1,29.999984741,0.977528930,-94.700469971,91,3.033333333,3.000000000,0.023109436
32,1789602403164000,0.157472610,-0.599044919,1.098861694,0.033358697,1,29.999984741,0.977527022,-94.677352905,92,3.066666667,3.016666667,0.023117065
33,1789602403180000,0.163553238,-0.599049985,1.067825317,0.031626426,1,29.999984741,0.977524281,-94.652465820,92,3.066666667,3.033333333,0.024887085
34,1789602403198000,0.169614792,-0.599050283,1.035011292,0.033369187,1,29.999984741,0.977521539,-94.627578735,93,3.100000000,3.050000000,0.024887085
35,1789602403217000,0.175676346,-0.599060297,1.003959656,0.031637739,1,29.999984741,0.977518320,-94.600921631,93,3.100000000,3.066666667,0.026657104
36,1789602403231000,0.181711197,-0.599060774,0.971153259,0.033356845,1,29.999984741,0.977515101,-94.574264526,94,3.133333333,3.083333333,0.026657104
