tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m
1,1789602402708000,-0.003959656,-0.599008381,-1.566902161,0.000000000,1,30.000000000,0.977293611,-95.000000000,0,2.566666667,0.000000000,0.000000000
2,1789602402710000,-0.010189056,-0.599007964,-1.534156799,0.033332627,1,30.000001907,0.977298975,-94.999015808,0,2.583333333,0.000000000,0.000000000
3,1789602402711000,-0.009460449,-0.599008083,-1.567489624,0.033340786,1,30.000001907,0.977308035,-94.997055054,0,2.600000000,0.000000000,0.000000000
4,1789602402712000,-0.008737564,-0.599008083,-1.600830078,0.033348292,1,30.000003815,0.977320075,-94.994140625,0,2.616666667,0.000000000,0.000000000
5,1789602402723000,-0.008016586,-0.599007785,-1.634147644,0.033325363,1,30.000007629,0.977334380,-94.990272522,0,2.633333333,0.000000000,0.000000000
6,1789602402738000,-0.007295609,-0.599007845,-1.667488098,0.033348247,1,30.000009537,0.977350414,-94.985473633,0,2.650000000,0.000000000,0.000000000
7,1789602402753000,-0.006576538,-0.599007547,-1.700836182,0.033355836,1,30.000011444,0.977367461,-94.979759216,0,2.666666667,0.000000000,0.000000000
8,1789602402771000,-0.005859375,-0.599007368,-1.734169006,0.033340536,1,30.000013351,0.977385044,-94.973121643,0,2.683333333,0.000000000,0.000000000
9,1789602402790000,-0.005146027,-0.599007308,-1.767517090,0.033355713,1,30.000013351,0.977402627,-94.965576172,0,2.700000000,0.000000000,0.000000000
10,1789602402805000,-0.004430771,-0.599006951,-1.800865173,0.033355754,1,30.000013351,0.977419853,-94.957130432,0,2.716666667,0.000000000,0.000000000
11,1789602402822000,-0.003721237,-0.599007010,-1.834197998,0.033340372,1,30.000013351,0.977436423,-94.947776794,0,2.733333333,0.000000000,0.000000000
12,1789602402838000,-0.008716583,-0.599007010,-1.801277161,0.033297673,1,30.000013351,0.977451980,-94.937538147,0,2.750000000,0.000000000,0.000000000
13,1789602402855000,-0.013713837,-0.599006712,-1.768341064,0.033313043,1,30.000011444,0.977466345,-94.926406860,0,2.766666667,0.000000000,0.000000000
14,1789602402870000,-0.018711090,-0.599006593,-1.735420227,0.033297956,1,30.000011444,0.977479339,-94.914382935,0,2.783333333,0.000000000,0.000000000
15,1789602402889000,-0.023714066,-0.599006534,-1.702491760,0.033306360,1,30.000009537,0.977491021,-94.901473999,0,2.800000000,0.000000000,0.000000000
16,1789602402905000,-0.028722763,-0.599006474,-1.669578552,0.033292137,1,30.000005722,0.977501035,-94.887680054,0,2.816666667,0.000000000,0.000000000
17,1789602402923000,-0.033729553,-0.599006176,-1.636657715,0.033299390,1,30.000003815,0.977509618,-94.872993469,0,2.833333333,0.000000000,0.000000000
18,1789602402939000,-0.038736343,-0.599006176,-1.603729248,0.033306934,1,30.000001907,0.977516651,-94.857421875,0,2.850000000,0.000000000,0.000000000
19,1789602402955000,-0.043752670,-0.599006414,-1.570800781,0.033308368,1,30.000000000,0.977522373,-94.840965271,0,2.866666667,0.000000000,0.000000000
20,1789602402972000,-0.048772812,-0.599006295,-1.537879944,0.033301402,1,29.999996185,0.977526546,-94.823616028,0,2.883333333,0.000000000,0.000000000
21,1789602402989000,-0.053794861,-0.599006295,-1.504966736,0.033294149,1,29.999994278,0.977529526,-94.805389404,0,2.900000000,0.000000000,0.000000000
22,1789602403004000,-0.058818817,-0.599006414,-1.472038269,0.033309519,1,29.999992371,0.977531314,-94.786270142,0,2.916666667,0.000000000,0.000000000
23,1789602403023000,-0.063846588,-0.599006295,-1.439125061,0.033295009,1,29.999990463,0.977532148,-94.766258240,0,2.933333333,0.000000000,0.000000000
24,1789602403039000,-0.068880081,-0.599006116,-1.406196594,0.033310957,1,29.999988556,0.977531910,-94.745361328,0,2.950000000,0.000000000,0.000000000
25,1789602403057000,-0.073917389,-0.599006116,-1.373283386,0.033296451,1,29.999986649,0.977530897,-94.723579407,0,2.966666667,0.000000000,0.000000000
26,1789602403072000,-0.078956604,-0.599006295,-1.340362549,0.033304282,1,29.999986649,0.977529287,-94.700912476,0,2.983333333,0.000000000,0.000000000
27,1789602403087000,-0.083997726,-0.599006414,-1.307441711,0.033304568,1,29.999984741,0.977527022,-94.677352905,0,3.000000000,0.000000000,0.000000000
28,1789602403103000,-0.089042664,-0.599006236,-1.274513245,0.033312690,1,29.999984741,0.977524400,-94.652908325,0,3.016666667,0.000000000,0.000000000
29,1789602403123000,-0.094095230,-0.599006534,-1.241600037,0.033298764,1,29.999984741,0.977521539,-94.627578735,0,3.033333333,0.000000000,0.000000000
30,1789602403138000,-0.099151611,-0.599006534,-1.208671570,0.033314425,1,29.999984741,0.977518320,-94.601364136,0,3.050000000,0.000000000,0.000000000
31,1789602403153000,-0.104209900,-0.599006534,-1.175750732,0.033307172,1,29.999984741,0.977515101,-94.574264526,0,3.066666667,0.000000000,0.000000000
32,1789602403174000,-0.109275818,-0.599006414,-1.142837524,0.033300791,1,29.999986649,0.977511883,-94.546287537,0,3.083333333,0.000000000,0.000000000
33,1789602403189000,-0.114343643,-0.599006593,-1.109909058,0.033316165,1,29.999986649,0.977508664,-94.517425537,0,3.100000000,0.000000000,0.000000000
34,1789602403204000,-0.119417191,-0.599006414,-1.076988220,0.033309493,1,29.999988556,0.977505684,-94.487678528,0,3.116666667,0.000000000,0.000000000
35,1789602403220000,-0.124494553,-0.599006414,-1.044082642,0.033294994,1,29.999988556,0.977502704,-94.457061768,0,3.133333333,0.000000000,0.000000000
36,1789602403237000,-0.129581451,-0.599006534,-1.011169434,0.033303991,1,29.999990463,0.977500081,-94.425559998,0,3.150000000,0.000000000,0.000000000
37,1789602403253000,-0.134672165,-0.599006414,-0.978256226,0.033304572,1,29.999992371,0.977497637,-94.393188477,0,3.166666667,0.000000000,0.000000000
38,1789602403273000,-0.139766693,-0.599006295,-0.945343018,0.033305157,1,29.999994278,0.977495432,-94.359947205,0,3.183333333,0.000000000,0.000000000
39,1789602403287000,-0.144870758,-0.599006653,-0.912429810,0.033306617,1,29.999994278,0.977493644,-94.325828552,0,3.200000000,0.000000000,0.000000000
40,1789602403305000,-0.149976730,-0.599006653,-0.879508972,0.033314448,1,29.999996185,0.977491975,-94.290840149,0,3.216666667,0.000000000,0.000000000
41,1789602403323000,-0.155090332,-0.599006653,-0.846595764,0.033308081,1,29.999998093,0.977490664,-94.254981995,0,3.233333333,0.000000000,0.000000000
42,1789602403340000,-0.160213470,-0.599006772,-0.813682556,0.033309545,1,29.999998093,0.977489591,-94.218254089,0,3.250000000,0.000000000,0.000000000
43,1789602403357000,-0.165344238,-0.599006593,-0.780769348,0.033310719,1,30.000000000,0.977488756,-94.180664063,0,3.266666667,0.000000000,0.000000000
44,1789602403372000,-0.170480728,-0.599006534,-0.747871399,0.033296525,1,30.000001907,0.977488160,-94.142211914,0,3.283333333,0.000000000,0.000000000
45,1789602403389000,-0.175626755,-0.599006474,-0.714965820,0.033305533,1,30.000001907,0.977487803,-94.102897644,0,3.300000000,0.000000000,0.000000000
46,1789602403405000,-0.180784225,-0.599006414,-0.682052612,0.033314843,1,30.000003815,0.977487683,-94.062713623,0,3.316666667,0.000000000,0.000000000
